name,source
ikea,IB
illinois-tool-works,F500
infosys,BD
ingersoll-rand,BD
ingram-micro,F500
ingredion-incorporated,F500
insight-enterprises,F500
intel,BD
international-paper,BD
intl-fcstone,F500
invesco,BD
iron-mountain-inc,BD
itw,BD
j.c-penney,BD
jabil,BD
jack-daniels,BD
jack-in-the-box,BD
jacobs-engineering,BD
jarden-corporation,F500
jb-hunt-transport-services,F500
jc-penney-company,F500
jetblue-airways-corporation,F500
john-deere,BD
john-hancock,BD
johnnie-walker,IB
johnson-controls,BD
johnson-johnson,BD
johnsons,BD
jones-lang-lasalle-incorporated,F500
jp-morgan,BD
kelloggs,BD
kelly-services,F500
kenworth,BD
keycorp,BD
kfc,IB
kia,IB
kimberlyclark-corporation,F500
kinder-morgan,BD
kindred-healthcare,F500
kitchenaid,BD
kkr,F500
kleenex,BD
kohls,BD
kraft,BD
kroger,BD
l-brands,F500
l3-communications-holdings,F500
laboratory-corp-of-america,BD
lam-research-corporation,F500
land-olakes,F500
landrover,IB
lansing-trade-group,F500
las-vegas-sands,BD
lawson-software,BD
lays-potato-chips,BD
le-petit-marseillais,BD
lear-corporation,F500
lee,BD
lego,IB
lennar,BD
lenovo,IB
leucadia-national-corporation,F500
level-3,BD
levis,BD
liberty-interactive-corporation,F500
liberty-mutual-holding-company,F500
lifepoint-health,F500
lilly,BD
lincoln,BD
linkedin,BD
listerine,BD
lithia-motors,F500
live-nation-entertainment,F500
lkq-corporation,F500
lm,BD
lockheed-martin,BD
loews-corporation,F500
loreal,IB
louis-vuitton,IB
lowes,BD
lyondellbasell,BD
m.a.c.,BD
macys,BD
manpower-inc,BD
marathon-petroleum,BD
markel-corporation,F500
marlboro,BD
marriott,BD
mars,BD
marshalls,BD
masco,BD
massachusetts-mutual-life-insurance-company,F500
mastercard,BD
mattel,F500
max-factor,BD
maytag,BD
mccormick,BD
mcdonalds,BD
mckesson,BD
mckinsey,BD
mclane-company,BD
medtronic,BD
mercedes-benz,IB
merck,BD
metlife,BD
mgm-resorts-international,F500
michael-kors,BD
michaels,BD
micron-technology,BD
microsoft,BD
mini,IB
minute-maid,BD
mobil,BD
moet,IB
mohawk-industries,F500
molina-healthcare,F500
mondelez-international,F500
monsanto-company,F500
monster-beverage,BD
moodys,BD
morgan-stanley,BD
motorola,BD
mountain-dew,BD
mt-bank,BD
mtv,BD
murphy-usa,F500
mutual-of-omaha-insurance-company,F500
national-oilwell-varco,F500
nationwide-mutual-insurance-co,F500
navient-corporation,F500
navistar-international-corporation,F500
nbc,BD
ncr-corporation,F500
nescafe,IB
nestle,IB
netapp,BD
netflix,BD
neutrogena,BD
new-york-life-insurance-company,F500
newell-brands,F500
newmont-mining-corporation,F500
newport,BD
news-corporation,F500
nextera-energy,F500
ngl-energy-partners-lp,F500
nielsen,BD
nike,BD
nisource,F500
nissan,IB
nordstrom,BD
norfolk,BD
northrop-grumman-corporation,F500
northwestern-mutual-life-insurance-company,F500
norwegian-cruise,BD
