name,rank,city,state,freq
Colfax Corporation,596,Annapolis Junction,Maryland,
Under Armour,597,Baltimore,Maryland,
Antero Resources Corporation,598,Denver,Colorado,
AGL Resources,600,Atlanta,Georgia,
CIT Group,603,New York,New York,
American Axle & Manufacturing Holdings,604,Detroit,Michigan,
Triumph Group,605,Berwyn,Pennsylvania,
Dynegy,606,Houston,Texas,
Fastenal Company,607,Winona,Minnesota,
The WhiteWave Foods Company,608,Denver,Colorado,
Welltower,609,Toledo,Ohio,
Sally Beauty Holdings,610,Denton,Texas,
CNO Financial Group,611,Carmel,Indiana,
CommScope Holding Company,612,Hickory,North Carolina,
Axiall Corporation,613,Atlanta,Georgia,
Flowers Foods,615,Thomasville,Georgia,
USG Corporation,616,Chicago,Illinois,
Silgan Holdings,617,Stamford,Connecticut,
Select Medical Holdings Corporation,618,Mechanicsburg,Pennsylvania,
Crown Castle International Corp.,619,Houston,Texas,
Allegheny Technologies Incorporated,620,Pittsburgh,Pennsylvania,
HSN,621,St. Petersburg,Florida,
Xylem,622,Rye Brook,New York,
Zebra Technologies Corporation,623,Lincolnshire,Illinois,
Albemarle Corporation,624,Baton Rouge,Lousiana,
Resolute Forest Products,625,Catawba,South Carolina,
Towers Watson & Co.,626,Arlington,Virginia,
Boise Cascade Company,627,Boise,Idaho,
Greif,628,Delaware,Ohio,
Team Health Holdings,629,Knoxville,Tennessee,
Snap-on Incorporated,630,Kenosha,Wisconsin,
Sprouts Farmers Market,631,Phoenix,Arizona,
Roper Technologies,632,Sarasota,Florida,
First Solar,633,Tempe,Arizona,
Pitney Bowes,634,Stamford,Connecticut,
ADT Corporation,635,Boca Raton,Florida,
Molson Coors Brewing Company,636,Denver,Colorado,
Builders FirstSource,637,Dallas,Texas,
Lexmark International,638,Lexington,Kentucky,
Carlisle Companies Incorporated,639,Charlotte,North Carolina,
CalAtlantic Group,640,Irvine,California,
Martin Marietta Materials,641,Raleigh,North Carolina,
Hub Group,642,Oak Brook,Illinois,
American Eagle Outfitters,643,Pittsburgh,Pennsylvania,
Abercrombie & Fitch Co.,644,New Albany,Ohio,
Regal Beloit Corporation,645,Beloit,Wisconsin,
COUNTRY Financial,646,Bloomington,Illinois,
Meritor,647,Troy,Michigan,
Tailored Brands,648,Houston,Texas,
ON Semiconductor Corporation,649,Phoenix,Arizona,
Pinnacle West Capital Corporation,650,Phoenix,Arizona,
Ventas,651,Chicago,Illinois,
Moody's Corporation,652,New York,New York,
Sprague Resources LP,653,Portsmouth,New Hampshire,
FMC Corporation,654,Philadelphia,Pennsylvania,
Lennox International,655,Richardson,Texas,
Urban Outfitters,657,Philadelphia,Pennsylvania,
The Manitowoc Company,658,Manitowoc,Wisconsin,
Analog Devices,659,Norwood,Massachusetts,
Vulcan Materials Company,660,Birmingham,Alabama,
C.R. Bard,661,Murray Hill,New Jersey,
Murphy Oil Corporation,662,El Dorado,Arkansas,
Nasdaq,663,New York,New York,
Darling Ingredients,664,Irving,Texas,
Church & Dwight Co.,665,Ewing,New Jersey,
Hubbell Incorporated,666,Shelton,Connecticut,
Worthington Industries,667,Columbus,Ohio,
PolyOne Corporation,668,Avon Lake,Ohio,
Diplomat Pharmacy,669,Flint,Michigan,
Cooper-Standard Holdings,670,Novi,Michigan,
CME Group,671,Chicago,Illinois,
Landstar System,672,Jacksonville,Florida,
CACI International,673,Arlington,Virginia,
Westinghouse Air Brake Technologies Corporation,674,Wilmerding,Pennsylvania,
Rent-A-Center,675,Plano,Texas,
Citrix Systems,676,Fort Lauderdale,Florida,
Clean Harbors,677,Norwell,Massachusetts,
Skyworks Solutions,678,Woburn,Massachusetts,
Alliant Energy Corporation,679,Madison,Wisconsin,
TD Ameritrade Holding Corporation,680,Omaha,Nebraska,
TEGNA,681,McLean,Virginia,
IAC/InterActiveCorp,682,New York,New York,
Fossil Group,683,Richardson,Texas,
NBTY,684,Ronkonkoma,New York,
ScanSource,685,Greenville,South Carolina,
TreeHouse Foods,686,Oak Brook,Illinois,
Aleris Corporation,687,Cleveland,Ohio,
Groupon,688,Chicago,Illinois,
Aaron's,689,Atlanta,Georgia,
Joy Global,690,Milwaukee,Wisconsin,
Ryerson Holding Corporation,691,Chicago,Illinois,
Helmerich & Payne,692,Tulsa,Oklahoma,
HealthSouth Corporation,693,Birmingham,Alabama,
Vantiv,694,Symmes Township,Ohio,
Skechers U.S.A.,695,Manhattan Beach,California,
American Water Works Company,696,Voorhees,New Jersey,
Iasis Healthcare LLC,697,Franklin,Tennessee,
Huntington Bancshares Incorporated,698,Columbus,Ohio,
Tempur Sealy International,699,Lexington,Kentucky,
EchoStar Corporation,700,Englewood,Colorado,
CMFG Life Insurance Company,701,Madison,Wisconsin,
Brown-Forman Corporation,702,Louisville,Kentucky,
Noble Energy,703,Houston,Texas,
Southwestern Energy Company,703,Spring,Texas,
Regal Entertainment Group,705,Knoxville,Tennessee,
CONSOL Energy,706,Canonsburg,Pennsylvania,
Time,707,New York,New York,
Varian Medical Systems,708,Palo Alto,California,
SkyWest,709,St. George,Utah,
BGC Partners,710,New York,New York,
Puget Energy,711,Bellevue,Washington,
H&R Block,712,Kansas City,Missouri,
Amerco,713,Reno,Nevada,
The Brink's Company,714,Richmond,Virginia,
Oceaneering International,715,Houston,Texas,
Steelcase,716,Grand Rapids,Michigan,
W.R. Grace & Co.,717,Columbia,Maryland,
Metaldyne Performance Group,718,Southfield,Michigan,
KB Home,719,Los Angeles,California,
International Flavors & Fragrances,720,New York,New York,
Genesco,721,Nashville,Tennessee,
Scripps Networks Interactive,722,Knoxville,Tennessee,
American National Insurance Company,723,Galveston,Texas,
The Scotts Miracle-Gro Company,724,Marysville,Ohio,
Unisys Corporation,725,Blue Bell,Pennsylvania,
Carter's,726,Atlanta,Georgia,
NOW,727,Houston,Texas,
Mercury General Corporation,728,Los Angeles,California,
Iron Mountain Incorporated,729,Boston,Massachusetts,
The Carlyle Group L.P.,730,Washington,District of Columbia,
Brinker International,731,Dallas,Texas,
Northern Tier Energy LP,732,Tempe,Arizona,
LinkedIn Corporation,733,Mountain View,California,
Service Corporation International,734,Houston,Texas,
Stericycle,735,Lake Forest,Illinois,
Sabre Corporation,736,Southlake,Texas,
Graham Holdings Company,737,Arlington,Virginia,
Taylor Morrison Home Corporation,738,Scottsdale,Arizona,
Cooper Tire & Rubber Company,739,Findlay,Ohio,
Old Dominion Freight Line,740,Thomasville,North Carolina,
Warner Music Group Corp.,741,New York,New York,
Green Plains,742,Omaha,Nebraska,
Alpha Natural Resources,743,Bristol,Virginia,
Convergys Corporation,744,Cincinnati,Ohio,
TECO Energy,745,Tampa,Florida,
IMS Health Holdings,746,Danbury,Connecticut,
MSC Industrial Direct Co.,747,Melville,New York,
Systemax,748,Port Washington,New York,
Triple-S Management Corporation,749,San Juan,Puerto Rico,
StanCorp Financial Group,750,Portland,Oregon,
Universal Forest Products,751,Grand Rapids,Michigan,
Gannett Co.,752,McLean,Virginia,
Amkor Technology,753,Tempe,Arizona,
Sentry Insurance Group,755,Stevens Point,Wisconsin,
Weis Markets,756,Sunbury,Pennsylvania,
The Timken Company,757,North Canton,Ohio,
Cabot Corporation,758,Boston,Massachusetts,
Univision Communications,759,New York,New York,
Keysight Technologies,760,Santa Rosa,California,
Olin Corporation,761,Clayton,Missouri,
Cinemark Holdings,762,Plano,Texas,
Cracker Barrel Old Country Store,763,Lebanon,Tennessee,
Penn National Gaming,764,Wyomissing,Pennsylvania,
Comerica Incorporated,765,Dallas,Texas,
AmSurg Corp.,766,Nashville,Tennessee,
DST Systems,767,Kansas City,Missouri,
Legg Mason,768,Baltimore,Maryland,
KLA-Tencor Corporation,769,Milpitas,California,
Sanderson Farms,770,Laurel,MS,
PriceSmart,771,San Diego,California,
Superior Energy Services,772,Houston,Texas,
The Bon-Ton Stores,773,York,Pennsylvania,
KapStone Paper and Packaging Corporation,774,Northbrook,Illinois,
MEDNAX,775,Sunrise,Florida,
Total System Services,776,Columbus,Georgia,
Global Payments,777,Atlanta,Georgia,
Scientific Games Corporation,779,Las Vegas,Nevada,
Applied Industrial Technologies,780,Cleveland,Ohio,
Equity Residential,781,Chicago,Illinois,
Crane Co.,782,Stamford,Connecticut,
Paychex,783,Rochester,New York,
New Jersey Resources Corporation,784,Wall,New Jersey,
B/E Aerospace,785,Wellington,Florida,
Equinix,786,Redwood City,California,
Monster Beverage Corporation,787,Corona,California,
TransDigm Group Incorporated,788,Cleveland,Ohio,
Acuity Brands,789,Atlanta,Georgia,
Hologic,790,Marlborough,Massachusetts,
TrueBlue,791,Tacoma,Washington,
Broadridge Financial Solutions,792,Lake Success,New York,
Verso Corporation,793,Memphis,Tennessee,
Wolverine World Wide,794,Rockford,Michigan,
The Hain Celestial Group,795,Lake Success,New York,
Heartland Payment Systems,796,Princeton,New Jersey,
Panera Bread Company,797,St. Louis,Missouri,
Continental Resources,798,Oklahoma City,Oklahoma,
DENTSPLY SIRONA,799,York,Pennsylvania,
ArcBest Corporation,800,Fort Smith,Arkansas,
Equifax,801,Atlanta,Georgia,
WGL Holdings,802,Washington,District of Columbia,
TriNet Group,803,San Leandro,California,
Pinnacle Foods,804,Parsippany,New Jersey,
Plexus Corp.,805,Neenah,Wisconsin,
Kennametal,806,Pittsburgh,Pennsylvania,
Chico's FAS,807,Fort Myers,Florida,
KAR Auction Services,808,Carmel,Indiana,
GNC Holdings,809,Pittsburgh,Pennsylvania,
Crestwood Equity Partners LP,810,Houston,Texas,
WABCO Holdings,811,Rochester Hills,Michigan,
DSW,812,Columbus,Ohio,
Valmont Industries,813,Omaha,Nebraska,
The Greenbrier Companies,814,Lake Oswego,Oregon,
Alexion Pharmaceuticals,815,New Haven,Connecticut,
Insperity,816,Kingwood,Texas,
Hawaiian Electric Industries,817,Honolulu,Hawaii,
Alere,818,Waltham,Massachusetts,
ServiceMaster Global Holdings,819,Memphis,Tennessee,
Apollo Education Group,820,Phoenix,Arizona,
AMC Networks,821,New York,New York,
Meritage Homes Corporation,822,Scottsdale,Arizona,
Hyster-Yale Materials Handling,823,Cleveland,Ohio,
Caleres,824,St. Louis,Missouri,
PC Connection,825,Merrimack,New Hampshire,
Arch Coal,826,St. Louis,Missouri,
Mattress Firm Holding Corp.,827,Houston,Texas,
HCP,828,Irvine,California,
Platform Specialty Products Corporation,829,West Palm Beach,Florida,
Benchmark Electronics,830,Angleton,Texas,
A.O. Smith Corporation,831,Milwaukee,Wisconsin,
Lincoln Electric Holdings,832,Cleveland,Ohio,
Vornado Realty Trust,833,New York,New York,
Teradata Corporation,834,Dayton,Ohio,
Nortek,835,Providence,Rhode Island,
Moog,836,Elma,New York,
Beacon Roofing Supply,837,Herndon,Virginia,
National General Holdings Corp.,838,New York,New York,
Aretec Group,839,New York,New York,
J.Crew Group,840,New York,New York,
EnerSys,841,Reading,Pennsylvania,
Autodesk,842,San Rafael,California,
Great Plains Energy Incorporated,843,Kansas City,Missouri,
Mutual of America Life Insurance Company,844,New York,New York,
Edwards Lifesciences Corporation,845,Irvine,California,
Boston Properties,846,Boston,Massachusetts,
ITT Corporation,847,White Plains,New York,
Affiliated Managers Group,848,West Palm Beach,Florida,
Tops Holding II Corporation,849,Williamsville,New York,
United Refining Company,850,Warren,Pennsylvania,
Southwest Gas Corporation,851,Las Vegas,Nevada,
Medical Mutual of Ohio,852,Cleveland,Ohio,
Westar Energy,853,Topeka,Kansas,
Ciena Corporation,854,Hanover,Maryland,
Vectren Corporation,855,Evansville,Indiana,
Edgewell Personal Care Company,856,Chesterfield,Missouri,
Armstrong World Industries,857,Lancaster,Pennsylvania,
Kansas City Southern,858,Kansas City,Missouri,
Cliffs Natural Resources,860,Cleveland,Ohio,
General Growth Properties,861,Chicago,Illinois,
California Resources Corporation,862,Los Angeles,California,
TRI Pointe Group,863,Irvine,California,
Mettler-Toledo International,864,Columbus,Ohio,
A. Schulman,865,Fairlawn,Ohio,
The Toro Company,866,Bloomington,Minnesota,
SPX FLOW,867,Charlotte,North Carolina,
West Corporation,869,Omaha,Nebraska,
Public Storage,870,Glendale,California,
Xilinx,871,San Jose,California,
Stifel Financial Corp.,872,St. Louis,Missouri,
Donaldson Company,873,Minneapolis,Minnesota,
Granite Construction Incorporated,874,Watsonville,California,
Pool Corporation,875,Covington,Lousiana,
Express,876,Columbus,Ohio,
Kemper Corporation,878,Chicago,Illinois,
EQT Corporation,879,Pittsburgh,Pennsylvania,
Nationstar Mortgage Holdings,880,Coppell,Texas,
PAREXEL International Corporation,881,Waltham,Massachusetts,
Columbia Sportswear Company,882,Portland,Oregon,
inVentiv Health,883,Burlington,Massachusetts,
Hawaiian Holdings,884,Honolulu,Hawaii,
AptarGroup,885,Crystal Lake,Illinois,
IHS,886,Englewood,Colorado,
Belden,887,St. Louis,Missouri,
Maxim Integrated Products,888,San Jose,California,
Coca-Cola Bottling Co. Consolidated,889,Charlotte,North Carolina,
HNI Corporation,890,Muscatine,Iowa,
Vishay Intertechnology,891,Malvern,Pennsylvania,
Tetra Tech,892,Pasadena,California,
Teledyne Technologies Incorporated,893,Thousand Oaks,California,
Party City Holdco,894,Elmsford,New York,
Pinnacle Entertainment,895,Las Vegas,Nevada,
Trimble Navigation Limited,896,Sunnyvale,California,
Penn Mutual Life Insurance Co.,897,Horsham,Pennsylvania,
MPM Holdings,898,Waterford,New York,
Sears Hometown and Outlet Stores,899,Hoffman Estates,Illinois,
Tupperware Brands Corporation,900,Orlando,Florida,
Universal Corporation,902,Richmond,Virginia,
Curtiss-Wright Corporation,903,Charlotte,North Carolina,
Brocade Communications Systems,904,San Jose,California,
PerkinElmer,905,Waltham,Massachusetts,
Wayfair,906,Boston,Massachusetts,
Nu Skin Enterprises,907,Provo,Utah,
Synopsys,909,Mountain View,California,
Amica Mutual Insurance Co.,910,Lincoln,Rhode Island,
Carpenter Technology Corporation,911,Wyomissing,Pennsylvania,
Illumina,912,San Diego,California,
Sinclair Broadcast Group,913,Hunt Valley,Maryland,
Twitter,914,San Francisco,California,
Domino's Pizza,915,Ann Arbor,Michigan,
Zions Bancorporation,916,Salt Lake City,Utah,
Guess?,917,Los Angeles,California,
Boyd Gaming Corporation,918,Las Vegas,Nevada,
Akamai Technologies,919,Cambridge,Massachusetts,
Prologis,920,San Francisco,California,
OGE Energy Corp.,921,Oklahoma City,Oklahoma,
Outerwall,922,Bellevue,Washington,
OneMain Holdings,923,Evansville,Indiana,
Knights of Columbus,925,New Haven,Connecticut,
Symetra Financial Corporation,926,Bellevue,Washington,
Gartner,927,Stamford,Connecticut,
Fred's,928,Memphis,Tennessee,
Hovnanian Enterprises,929,Red Bank,New Jersey,
Kirby Corporation,930,Houston,Texas,
Microchip Technology Incorporated,931,Chandler,Arizona,
Herman Miller,932,Zeeland,Michigan,
Spirit Airlines,933,Miramar,Florida,
NewMarket Corporation,934,Richmond,Virginia,
VCA,935,Los Angeles,California,
Selective Insurance Group,936,Branchville,New Jersey,
hhgregg,937,Indianapolis,Indiana,
Popular,938,Hato Rey,Puerto Rico,
Waste Connections,939,The Woodlands,Texas,
Restoration Hardware Holdings,940,Corte Madera,California,
The Cheesecake Factory Incorporated,941,Calabasas Hills,California,
Mueller Industries,942,Memphis,Tennessee,
MAXIMUS,943,Reston,Virginia,
TTM Technologies,944,Costa Mesa,California,
Werner Enterprises,945,Omaha,Nebraska,
Engility Holdings,946,Chantilly,Virginia,
Rexnord Corporation,947,Milwaukee,Wisconsin,
NuStar Energy L.P.,948,San Antonio,Texas,
H.B. Fuller Company,949,St. Paul,Minnesota,
Vista Outdoor,950,Clearfield,Utah,
On Assignment,951,Calabasas,California,
Verisk Analytics,952,Jersey City,New Jersey,
Par Pacific Holdings,953,Houston,Texas,
Alliance One International,954,Morrisville,North Carolina,
Whiting Petroleum Corporation,955,Denver,Colorado,
Waters Corporation,956,Milford,Massachusetts,
Tower International,957,Livonia,Michigan,
Woodward,958,Fort Collins,Colorado,
Stewart Information Services Corporation,959,Houston,Texas,
PharMerica Corporation,960,Louisville,Kentucky,
Wabash National Corporation,961,Lafayette,Indiana,
Dycom Industries,963,Palm Beach Gardens,Florida,
IDEX Corporation,964,Lake Forest,Illinois,
Bio-Rad Laboratories,965,Hercules,California,
QEP Resources,966,Denver,Colorado,
Griffon Corp.,967,New York,New York,
American Greetings Corporation,968,Cleveland,Ohio,
Tribune Media Company,969,Chicago,Illinois,
Rackspace Hosting,970,San Antonio,Texas,
VeriFone Systems,971,San Jose,California,
Genesee & Wyoming,972,Darien,Connecticut,
99 Cents Only Stores LLC,973,Commerce,California,
Roadrunner Transportation Systems,974,Cudahy,Wisconsin,
Super Micro Computer,975,San Jose,California,
First Republic Bank,976,San Francisco,California,
Hill-Rom Holdings,977,Chicago,Illinois,
The Providence Service Corporation,978,Tucson,Arizona,
Allison Transmission Holdings,979,Indianaoplis,Indiana,
Spire,980,St. Louis,Missouri,
WPX Energy,981,Tulsa,Oklahoma,
Century Aluminum Company,982,Chicago,Illinois,
Adams Resources & Energy,983,Houston,Texas,
Nuance Communications,984,Burlington,Massachusetts,
Primoris Services Corporation,985,Dallas,Texas,
Schnitzer Steel Industries,986,Portland,Oregon,
Delta Tucker Holdings,987,McLean,Virginia,
Hospitality Properties Trust,988,Newton,Massachusetts,
Cenveo,989,Stamford,Connecticut,
F5 Networks,990,Seattle,Washington,
BlueLinx Holdings,991,Atlanta,Georgia,
Revlon,992,New York,New York,
DeVry Education Group,993,Downers Grove,Illinois,
M.D.C. Holdings,994,Denver,Colorado,
EP Energy Corporation,995,Houston,Texas,
New York Community Bancorp,996,Westbury,New York,
Portland General Electric Company,997,Portland,Oregon,
The Wendy's Company,999,Dublin,Ohio,
Briggs & Stratton Corporation,1000,Wauwatosa,Wisconsin,
Ulta Salon, Cosmetics & Fragrance,709,Bolingbrook,Illinois
Intuitive Surgical, Inc,973,Sunnyvale,California
McCormick & Company, Incorporated,598,Sparks,Maryland
Leggett & Platt, Incorporated,623,Carthage,Missouri
Ingles Markets, Incorporated,637,Black Mountain,North Carolina
Diebold, Incorporated,743,North Canton,Ohio
Calumet Specialty Products Partners, L.P.,457,Indianapolis,Indiana
Ferrellgas Partners, L.P.,894,Overland Park,Kansas
Alliance Holdings GP, L.P.,926,Tulsa,Oklahoma
Magellan Midstream Partners, L.P.,923,Tulsa,Oklahoma
Buckeye Partners, L.P.,406,Houston,Texas
Genesis Energy, L.P.,633,Houston,Texas
Wynn Resorts, Limited,477,Las Vegas,Nevada
Nexeo Solutions Holdings, LLC,548,The Woodlands,Texas
Linn Energy, LLC,520,Houston,Texas
DCP Midstream Partners, LP,665,Denver,Colorado
Enable Midstream Partners, LP,694,Oklahoma City,Oklahoma
G-III Apparel Group, Ltd.,977,New York,New York
