name,match,ftype,style,family,ver,letter
in-n-out,3313,sans,grotesque,helvetica,bold,n
in-n-out,3709,sans,geom,bauhaus,bold,o
in-n-out,4160,sans,geom,futura,bold,i
in-n-out,3313,sans,grotesque,helvetica,bold,n
in-n-out,4169,sans,geom,futura,bold,u
in-n-out,4168,sans,geom,futura,bold,t
in-n-out,2766,sans,humanist,gillsans,cb,u
in-n-out,4157,sans,geom,futura,bold,e
in-n-out,4167,sans,geom,futura,bold,r
