name,url
21st-Century-Fox,http://brandirectory.com/images/profile/logo/21st_century_fox2.jpg
PNC,http://brandirectory.com/images/profile/logo/pnc.jpg
Cognizant,http://brandirectory.com/images/profile/logo/cognizant.jpg
Marriott,http://brandirectory.com/images/profile/logo/marriott5.png
Thomson-Reuters,http://brandirectory.com/images/profile/logo/thomsonreuterslogo.png
Prudential(US),http://brandirectory.com/images/profile/logo/prudential_us.jpg
Harley-Davidson,http://brandirectory.com/images/profile/logo/harley_davidson.jpg
Yahoo,http://brandirectory.com/images/profile/logo/yahoo.jpg
Neutrogena,http://brandirectory.com/images/profile/logo/neutrogena.jpg
Adobe,http://brandirectory.com/images/profile/logo/adobelogo2.png
NORDSTROM,http://brandirectory.com/images/profile/logo/nordstrom2.jpg
Mobil,http://brandirectory.com/images/profile/logo/mobil.jpg
Bud-Light,http://brandirectory.com/images/profile/logo/budlightlogo.png
Mckinsey,http://brandirectory.com/images/profile/logo/mckinseyandco.png
Youtube,http://brandirectory.com/images/profile/logo/youtube_logo.jpg
Dollar-General,http://brandirectory.com/images/profile/logo/dollargeneral2.png
EMC2,http://brandirectory.com/images/profile/logo/emc2.jpg
Pantene,http://brandirectory.com/images/profile/logo/pantene2.png
Infosys,http://brandirectory.com/images/profile/logo/infosys3.png
Dominos-Pizza,http://brandirectory.com/images/profile/logo/dominospizza.png
Johnson-Johnson,http://brandirectory.com/images/profile/logo/jnj1.png
Progressive,http://brandirectory.com/images/profile/logo/progressive.jpg
Tyson,http://brandirectory.com/images/profile/logo/tyson.jpg
Salesforce,http://brandirectory.com/images/profile/logo/salesforce2.png
Newport,http://brandirectory.com/images/profile/logo/images_9.jpg
Burger-King,http://brandirectory.com/images/profile/logo/burger_king.jpg
Geico,http://brandirectory.com/images/profile/logo/geico4.png
ADP,http://brandirectory.com/images/profile/logo/adp.jpg
Esso,http://brandirectory.com/images/profile/logo/esso2.png
Lays-Potato-Chips,http://brandirectory.com/images/profile/logo/lays.jpg
Budweiser,http://brandirectory.com/images/profile/logo/bud_1.jpg
United,http://brandirectory.com/images/profile/logo/united.jpg
Huggies,http://brandirectory.com/images/profile/logo/huggies2.png
