"","form_sans","form_serif","form_callig","class_grotesque","class_geom","class_geom-square","class_humanist","class_transitional","class_oldstyle","class_clarendon","class_slab","class_glyphic","class_casual","class_didone","class_monotype","class_amp","family_helvetica","family_futura","family_eurostile","family_gillsans","family_bauhaus","family_kepler","family_times","family_bembo","family_clarendon","family_rockwell","family_comfortaa","family_centaur","family_copperplate-gothic","family_nadianne","family_bodoni","family_trajan","family_americana","family_monotype","ver_bold","ver_cb","ver_bi","ver_wide","ver_light","ver_orig","ver_wb","ver_co","ver_cbi","ver_italic","ver_wbi","ver_wi","ver_ci","ver_wl","ver_wli","ver_li","width_condensed","width_wide","width_orig","width_has_condensed","width_has_wide","width_has_orig","width_mixed","weight_bold","weight_light","weight_orig","weight_has_bold","weight_has_light","weight_has_orig","weight_mixed","style_italic","style_orig","style_has_italic","style_has_orig","style_mixed"
"bristol-myers-squibb",1,16,1,0,1,0,0,6,6,1,1,1,0,2,0,0,0,1,0,0,0,2,6,4,1,1,0,2,1,0,0,0,0,0,2,2,0,0,2,10,0,2,0,0,0,0,0,0,0,0,4,0,14,0,0,1,0,4,2,12,0,0,1,0,0,18,0,1,0
"broadcom",8,0,1,5,1,2,0,0,0,0,0,0,1,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8,0,0,1,0,8,0,1,1,0,0,0,7,2,1,0,0
"buick",5,1,0,1,2,1,1,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,1,3,2,0,1,1,1,0,6,0,1,0
"burberry",7,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,3,1,0,1,1,7,0,0,1,0,0,0,1,6,0,1,0
"burger-king",6,2,0,0,3,0,3,0,0,0,1,0,0,1,0,0,0,0,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,5,1,0,1,1,7,0,1,1,0,0,0,0,8,0,1,0
"burlington-stores",1,8,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,2,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,2,1,6,0,0,1,0,0,9,0,1,0
"cabelas-inc",3,2,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,3,0,0,1,0,5,0,0,1,0,0,0,4,1,1,0,0
"cablevision-systems-corporation",8,5,0,5,2,1,0,2,0,1,0,0,0,2,0,0,5,2,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,1,3,0,2,0,0,0,4,3,6,1,0,1,1,10,0,3,1,0,0,0,12,1,1,0,0
"cadbury",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
"cadillac",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"calpine-corporation",1,8,0,0,0,1,0,3,0,0,2,0,0,3,0,0,0,0,1,0,0,1,3,0,0,2,0,0,0,0,2,0,0,0,3,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,2,5,0,0,1,0,6,0,3,1,0,1,1,0,9,0,1,0
"calvin-klein",11,1,0,3,5,3,0,0,0,0,1,0,0,0,0,0,3,2,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,6,3,0,1,0,0,0,0,0,1,0,0,2,1,9,0,0,1,0,1,7,4,0,1,1,1,0,12,0,1,0
"camel",1,2,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,4,0,0,1,0,0,0,2,2,1,1,1
"cameron-international-corporation",10,3,1,4,3,2,1,1,0,0,1,1,0,1,0,0,4,3,2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,3,2,0,0,0,5,0,0,1,1,0,0,0,1,1,0,3,2,9,0,0,1,0,6,2,6,1,0,1,1,3,11,0,1,0
"campbells",3,3,0,0,1,1,1,0,1,0,0,0,0,2,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,4,1,0,1,1,4,1,1,1,0,0,0,3,3,1,1,1
"canon",0,5,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,5,0,0,1,0,0,0,2,3,1,1,1
"capital-one",5,2,1,5,0,0,0,0,0,0,1,0,1,1,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,6,1,0,1,0,0,8,0,0,1,0,0,0,6,2,1,0,0
"cardinal-health",13,1,0,3,5,5,0,0,0,0,1,0,0,0,0,0,3,3,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,3,0,6,0,0,0,0,0,0,0,0,6,1,7,1,0,1,1,1,3,10,0,0,1,0,0,14,0,1,0
"carefree",0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,0,3,0,0,1,0,0,3,0,1,0,0
"carmax",4,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,0,0,1,0,5,0,0,1,0,0,0,1,4,0,1,0
"carnival",0,7,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,1,0,6,0,1,1,0,0,0,0,7,0,1,0
"carrier",0,7,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,3,0,1,4,2,0,1,1,1,0,3,4,0,1,1,1,7,0,1,0,0
"cartier",3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,1,0,1,1,1,0,2,1,0,1,1,2,1,1,1,1
"caseys-general",2,11,0,1,1,0,0,0,0,0,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,8,0,0,0,0,0,0,0,0,10,1,2,1,0,0,0,4,0,9,1,0,1,1,0,13,0,1,0
"caterpillar",3,2,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,2,0,1,1,0,1,3,0,2,1,0,1,1,0,5,0,1,0
"cbi",0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,2,0,1,0
"cbre",4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,3,0,1,1,0,0,0,0,4,0,1,0
"cbs",2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,0,0,1,0,0,0,0,3,0,1,0
"cdw-corporation",4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,4,0,0,1,0,0,0,4,0,1,0,0
"celanese-corporation",9,0,0,3,4,1,1,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,1,0,0,0,0,0,0,2,7,0,0,1,0,1,2,6,0,0,1,0,1,8,0,1,0
"celgene",1,5,0,0,1,0,0,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,0,4,1,0,1,1,1,0,5,0,0,1,0,0,6,0,1,0
"centene-corporation",12,2,2,6,1,3,2,1,0,0,0,0,2,0,1,0,6,1,3,2,0,0,0,0,0,0,0,0,0,2,0,0,1,1,7,0,0,0,0,2,0,0,1,3,0,0,1,0,0,2,2,0,14,0,0,1,0,8,2,6,1,0,1,1,7,9,1,1,1
"centerpoint-energy",15,2,0,11,3,0,1,2,0,0,0,0,0,0,0,0,11,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,9,0,0,0,15,0,2,1,0,0,0,6,0,11,1,0,1,1,17,0,1,0,0
"centurylink",11,0,0,4,3,2,2,0,0,0,0,0,0,0,0,0,4,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,1,0,2,1,8,0,0,1,0,0,11,0,1,0
"cerner-corp",6,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,6,0,0,1,0,0,0,0,6,0,1,0
"ch-robinson",10,0,2,1,2,7,0,0,0,0,0,2,0,0,0,0,1,0,7,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,2,4,0,4,0,0,0,0,0,0,0,0,6,0,6,1,0,1,1,2,2,8,0,0,1,0,0,12,0,1,0
"charles-schwab",0,11,2,0,0,0,0,1,2,0,1,2,0,7,0,0,0,0,0,0,0,7,1,0,0,1,0,2,0,0,0,2,0,0,3,1,0,0,1,1,0,1,0,2,0,0,2,0,1,1,4,1,8,1,0,1,1,4,3,6,1,0,1,1,6,7,1,1,1
"charter-communications",16,2,1,2,8,2,4,0,0,1,0,1,0,1,0,0,2,0,2,4,0,1,0,0,1,0,8,0,1,0,0,0,0,0,3,0,0,2,2,11,0,0,0,0,0,0,0,1,0,0,0,3,16,0,0,1,0,3,3,13,0,0,1,0,0,19,0,1,0
"chase",5,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1,1,1,0,1,4,0,0,1,0,1,4,0,1,0
"chesapeake-energy-corporation",11,3,2,8,0,2,1,0,2,0,0,2,0,1,0,0,8,0,2,1,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,3,2,0,8,1,0,0,0,0,2,0,0,0,0,0,5,11,0,1,1,1,4,0,12,0,0,1,0,5,11,1,1,1
"chesterfield",7,6,0,1,5,0,1,0,0,0,5,0,0,1,0,0,1,3,0,1,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,1,0,0,1,2,0,7,1,0,0,0,0,1,0,0,9,1,3,1,0,0,0,2,2,9,0,0,1,0,1,12,0,1,0
"chevrolet",5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,3,1,1,1,0,0,0,0,5,0,1,0
"chevron",7,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,4,0,3,1,0,1,1,0,7,0,1,0
"chipotle-mexican",1,3,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,1,0,1,0,0,3,1,0,1,0,0,0,0,4,0,1,0
"chs",0,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,2,1,0,1,1,0,3,0,1,0
"chubb",3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,3,0,0,1,0,0,3,0,1,0
"ciel",4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,4,0,0,1,0,0,0,0,4,0,1,0
"cigna",5,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,1,0,1,0,4,0,0,1,0,1,4,0,1,0
"cincinnati-financial-corporation",11,2,0,3,4,3,1,0,0,0,2,0,0,0,0,0,3,2,3,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,7,3,0,0,0,0,0,0,0,1,0,0,2,1,10,0,0,1,0,2,8,3,0,1,0,0,0,13,0,1,0
"cinemark",5,1,0,2,0,2,1,0,0,0,1,0,0,0,0,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3,1,1,1,0,1,6,0,0,1,0,0,0,0,6,0,1,0
"cintas-corp",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,2,0,1,0
"cisco",5,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,4,0,1,1,0,0,0,0,5,0,1,0
"citi",3,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,2,0,2,1,0,1,1,0,4,0,1,0
"citizens",9,2,0,2,4,0,3,0,0,0,1,0,0,1,0,0,2,1,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,2,1,8,0,0,1,0,5,0,6,1,0,1,1,0,11,0,1,0
"clinique",4,4,0,1,0,2,1,2,1,0,0,0,0,1,0,0,1,0,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,3,0,5,1,0,1,1,1,2,5,0,0,1,0,0,8,0,1,0
"clorox",5,2,0,2,1,1,1,0,0,0,1,0,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,4,0,3,1,0,1,1,0,7,0,1,0
"cme",6,1,0,2,1,0,3,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,2,5,0,1,1,1,2,3,2,1,1,1,1,0,7,0,1,0
"cms-energy-corporation",16,5,0,10,2,4,0,2,0,0,1,0,0,2,0,0,10,1,4,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,1,0,0,0,8,0,0,0,9,0,12,1,0,1,1,13,0,8,1,0,1,1,20,1,1,0,0
"coach",2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,2,0,0,1,0,0,0,1,1,1,1,1
"coca-cola",1,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,1,1,1,2,0,1,1,0,1,1,3,0,1,0,0
"cognizant",9,1,0,4,1,4,0,0,0,0,1,0,0,0,0,0,4,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,7,0,0,0,0,0,0,0,0,8,0,2,1,0,0,0,1,2,7,0,0,1,0,0,10,0,1,0
"colgate",3,3,0,3,0,0,0,0,0,1,1,0,0,1,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,1,0,1,0,0,6,0,0,1,0,0,0,6,0,1,0,0
"comcast-corporation",8,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,1,0,8,0,0,1,0,2,6,1,0,1,0,0,1,8,0,1,0
"commercial-metals-company",14,5,0,3,0,7,4,1,0,0,3,0,0,1,0,0,3,0,7,4,0,1,1,0,0,3,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,1,0,0,0,19,0,0,1,0,0,0,0,19,0,1,0
"community-health-systems",9,15,0,1,4,4,0,8,4,0,0,0,0,3,0,0,1,3,4,0,0,3,7,3,0,0,1,1,0,0,0,0,1,0,0,6,0,0,2,12,0,4,0,0,0,0,0,0,0,0,10,0,14,1,0,1,1,6,2,16,0,0,1,0,0,24,0,1,0
"conagra-foods",12,0,0,1,9,0,2,0,0,0,0,0,0,0,0,0,1,4,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,4,6,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,1,0,2,4,6,0,1,1,1,0,12,0,1,0
"conocophillips",13,0,1,6,4,0,3,0,0,0,0,1,0,0,0,0,6,3,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,5,1,5,0,1,0,0,0,0,0,0,0,0,1,5,8,0,1,1,1,2,1,11,0,0,1,0,0,14,0,1,0
"cons-edison-inc",8,3,0,3,4,1,0,0,0,0,3,0,0,0,0,0,3,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,1,1,9,0,0,1,0,3,0,8,1,0,1,1,0,11,0,1,0
"constellation-brands",9,5,2,0,5,4,0,1,0,0,1,1,1,1,2,0,0,3,4,0,2,0,1,0,0,1,0,0,0,1,1,1,0,2,2,1,0,0,0,2,0,9,2,0,0,0,0,0,0,0,12,0,4,1,0,0,0,5,0,11,1,0,1,1,2,14,0,1,0
"coors",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
"coremark-holding-company",10,1,0,2,4,1,3,0,0,0,0,0,0,1,0,0,2,2,1,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,1,1,1,0,0,0,0,0,1,2,8,0,0,1,0,4,0,7,1,0,1,1,3,8,1,1,1
"corning",0,4,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,5,0,0,1,0,0,5,0,1,0
"costco",7,1,0,5,1,0,1,0,0,1,0,0,0,0,0,0,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,5,0,1,1,1,7,1,0,1,0,0,0,8,0,1,0,0
"courtyard",9,4,0,1,5,2,1,2,1,0,1,0,0,0,0,0,1,1,2,1,2,0,2,1,0,1,2,0,0,0,0,0,0,0,4,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,8,1,0,1,1,9,0,4,1,0,1,1,0,13,0,1,0
"crown-holdings-inc",13,0,1,11,1,1,0,0,0,0,0,1,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,0,1,0,8,0,0,0,0,0,0,2,0,12,0,0,1,0,2,0,12,0,0,1,0,8,6,1,1,1
"csc",3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,0,0,1,0,0,0,0,3,0,1,0
"cst-brands",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
"csx",2,3,0,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,3,2,0,1,1,0,1,0,5,0,1,0
"cummins",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
"cvs",13,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,1,0,5,0,8,1,0,1,1,0,13,0,1,0
"dana-holding-corporation",4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,1,4,0,0,1,0,0,0,0,4,0,1,0
"danaher",7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,1,0,0,7,0,0,1,0,0,0,7,0,1,0,0
"danone",5,0,1,3,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,2,0,4,1,0,1,1,0,6,0,1,0
"darden-restaurants",8,2,1,3,2,2,1,0,0,1,1,1,0,0,0,0,3,1,2,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,3,0,0,4,2,0,0,1,0,1,0,0,0,0,0,4,1,6,1,0,1,1,5,4,2,1,1,0,1,2,9,0,1,0
"davita-healthcar",1,5,0,1,0,0,0,2,0,0,0,0,0,1,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,2,2,2,1,1,1,1,2,1,3,1,0,1,1,6,0,1,0,0
"dean-foods-company",5,2,0,1,3,0,1,0,0,0,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,1,0,1,0,0,0,0,2,1,4,1,0,1,1,5,0,2,1,0,1,1,6,1,1,0,0
"deere--company",4,3,0,1,2,1,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,5,2,0,1,1,1,4,1,2,1,0,1,1,1,6,0,1,0
"delek-us-holdings",6,0,1,2,0,3,1,0,0,0,0,0,1,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,2,0,1,1,1,7,0,0,1,0,0,0,0,7,0,1,0
"dell",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,2,0,0,1,0,0,0,0,2,0,1,0
"deloitte",8,0,0,2,1,1,4,0,0,0,0,0,0,0,0,0,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,4,1,0,1,1,8,0,0,1,0,0,0,2,6,0,1,0
"delta",5,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,1,1,0,0,5,0,0,1,0,0,5,0,1,0
"devon",2,4,0,0,2,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,2,3,0,1,1,1,2,1,3,1,0,1,1,0,6,0,1,0
"dicks-sporting",11,1,0,7,1,3,0,0,0,0,1,0,0,0,0,0,7,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,7,1,0,1,1,10,1,1,1,0,0,0,0,12,0,1,0
