"","form_sans","form_serif","form_callig","class_grotesque","class_geom","class_geom-square","class_humanist","class_transitional","class_oldstyle","class_clarendon","class_slab","class_glyphic","class_casual","class_didone","class_monotype","class_amp","family_helvetica","family_futura","family_eurostile","family_gillsans","family_bauhaus","family_kepler","family_times","family_bembo","family_clarendon","family_rockwell","family_comfortaa","family_centaur","family_copperplate-gothic","family_nadianne","family_bodoni","family_trajan","family_americana","family_monotype","ver_bold","ver_cb","ver_bi","ver_wide","ver_light","ver_orig","ver_wb","ver_co","ver_cbi","ver_italic","ver_wbi","ver_wi","ver_ci","ver_wl","ver_wli","ver_li","width_condensed","width_wide","width_orig","width_has_condensed","width_has_wide","width_has_orig","width_mixed","weight_bold","weight_light","weight_orig","weight_has_bold","weight_has_light","weight_has_orig","weight_mixed","style_italic","style_orig","style_has_italic","style_has_orig","style_mixed"
"amphenol-corporation",8,2,1,2,5,0,1,1,0,0,1,1,0,0,0,0,2,4,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,3,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,3,2,6,1,0,1,1,6,0,5,1,0,1,1,0,11,0,1,0
"anadarko",4,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,4,0,0,1,0,0,5,0,0,1,0,0,0,1,4,0,1,0
"anixter-international",4,1,1,1,2,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,1,1,6,0,0,1,0,0,0,0,6,0,1,0
"anthem",1,20,0,0,0,0,1,3,1,1,0,0,0,14,1,0,0,0,0,1,0,2,2,1,1,0,0,0,0,0,12,0,1,1,4,1,0,0,0,15,1,0,0,0,0,0,0,0,0,0,1,1,19,0,0,1,0,6,0,15,1,0,1,1,0,21,0,1,0
"apache",2,3,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,2,1,2,1,0,1,1,5,0,0,1,0,0,0,5,0,1,0,0
"applied-materials",17,0,0,6,4,3,4,0,0,0,0,0,0,0,0,0,6,1,3,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,4,9,0,1,0,0,0,0,0,1,0,0,1,1,15,0,0,1,0,2,5,10,0,1,1,1,0,17,0,1,0
"aramark",7,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,7,0,0,1,0,0,7,0,1,0
"archerdanielsmidland-company",4,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0,1,1,2,0,0,1,0,0,4,0,1,0
"arrow-electronics",18,1,0,11,5,0,2,0,0,0,1,0,0,0,0,0,11,1,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0,0,7,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,7,12,0,1,1,1,7,0,12,1,0,1,1,0,19,0,1,0
"arthur-j-gallagher--co",7,11,0,3,3,0,1,4,3,0,1,0,0,2,1,0,3,2,0,1,0,1,1,2,0,1,1,1,0,0,1,0,3,1,0,3,0,0,2,9,1,2,0,0,0,0,0,1,0,0,5,2,11,1,0,1,1,4,3,11,0,0,1,0,0,18,0,1,0
"asbury-automotive-group",9,2,0,1,5,2,1,1,0,0,1,0,0,0,0,0,1,4,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,8,0,3,1,0,1,1,8,1,2,1,0,0,0,0,11,0,1,0
"ashland",4,6,0,0,3,1,0,0,0,0,1,0,0,2,3,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,3,0,0,0,1,0,7,0,2,0,0,0,0,0,0,0,0,2,1,7,0,0,1,0,0,0,10,0,0,1,0,0,10,0,1,0
"assurant",7,1,0,2,1,0,4,1,0,0,0,0,0,0,0,0,2,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,8,0,0,1,0,0,8,0,1,0
"audi",1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,2,0,0,1,0,0,0,0,2,0,1,0
"autoliv",7,2,0,2,3,0,2,1,0,1,0,0,0,0,0,0,2,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,4,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,3,4,0,1,1,1,7,0,2,1,0,0,0,0,9,0,1,0
"autonation",7,3,2,2,3,0,2,0,0,0,1,2,0,0,2,0,2,3,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,2,5,2,0,2,0,2,0,0,0,1,0,0,0,0,0,0,2,2,8,0,0,1,0,7,0,5,1,0,1,1,1,11,0,1,0
"autoowners-insurance-group",7,9,2,4,1,0,2,2,1,0,0,2,0,6,0,0,4,1,0,2,0,6,2,1,0,0,0,0,2,0,0,0,0,0,2,2,6,1,0,4,0,0,1,0,2,0,0,0,0,0,3,3,12,0,0,1,0,13,0,5,1,0,1,1,9,9,1,1,1
"autozone",5,3,0,3,2,0,0,0,1,0,0,0,0,2,0,0,3,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,3,0,0,0,0,0,2,5,1,0,1,0,0,8,0,0,1,0,0,0,6,2,1,0,0
