name,area,frac,r,g,b,color_label
allstate,25562,0.85240763,252.5976841,253.6912605,254.3250137,0
ally-financial,6692,0.094559842,81.70830843,20.05514047,75.88478781,7
ally-financial,50357,0.71155857,254.1029053,253.8781302,254.0793733,0
ally-financial,13721,0.193881588,0.148531448,-5.12E-13,0.114860433,1
alphabet,14111,0.189282361,237.0666147,27.07079583,34.48812983,2
alphabet,60439,0.810717639,254.9084366,254.0774169,254.0956667,0
altria-group,1874,0.030696151,217.5037353,164.1648879,118.8681964,12
altria-group,4405,0.072153972,29.73166856,95.99341657,139.9375709,3
altria-group,2828,0.046322686,227.2446959,208.643918,178.3207214,0
altria-group,2063,0.033791974,76.35773146,188.0833737,208.6694135,9
altria-group,2500,0.040950041,220.9744,180.772,37.298,11
altria-group,625,0.01023751,1.536,168.1152,76.1536,10
altria-group,1250,0.02047502,115.7072,191.256,66.0792,10
altria-group,3125,0.051187551,199.68384,32.0784,37.33856,2
altria-group,42380,0.694185094,254.8637329,254.8911987,254.8903492,0
amazon,406,0.017690632,251.9655172,157.5246305,48.56403941,5
amazon,19311,0.841437908,254.0145513,253.9000052,253.7126508,0
amazon,2624,0.114335512,6.613948171,6.613567073,6.613185976,1
amazon,609,0.026535948,134.8489327,134.8423645,134.8407225,6
ameren-corporation,8514,0.118025424,35.11533944,31.09854358,32.09854358,1
ameren-corporation,4673,0.064779517,61.29295955,151.6109566,59.2636422,10
ameren-corporation,56451,0.782552643,254.5586969,254.6448424,254.5357035,0
ameren-corporation,1093,0.015151725,7.764867338,4.30558097,5.18389753,1
ameren-corporation,1406,0.019490691,167.859175,154.3911807,136.1507824,8
american-airlines,5599,0.087599349,53.01732452,74.63672084,93.42007501,6
american-airlines,876,0.013705488,196.6518265,33.16210046,38.21118721,2
american-airlines,55891,0.874444584,254.3279956,254.389705,254.4556905,0
american-airlines,1550,0.024250579,125.7864516,159.2967742,178.2309677,8
american-electric-power-company,3922,0.068090278,225.8539011,11.79959204,23.16318205,2
american-electric-power-company,43629,0.757447917,253.8459969,253.6173417,253.6175021,0
american-electric-power-company,10049,0.174461806,97.96069261,93.55239327,92.53676983,6
american-express,8257,0.421297005,40.80317345,119.1993702,213.536095,3
american-express,11342,0.578702995,251.192189,252.5100943,253.6985806,0
american-family-insurance-group,16317,0.222344861,5.692467978,107.6067292,182.299381,3
american-family-insurance-group,4826,0.065761862,237.3135102,25.29859097,83.66493991,2
american-family-insurance-group,52243,0.711893277,252.9279904,253.2848611,254.0209406,0
american-financial-group,1424,0.020042224,226.7141854,21.3616573,28.5386236,2
