ar,down_diag,entropy,gpc,h,h_sym,hor,mean_light,mean_sat,mmark_absbot,mmark_absleft,mmark_absright,mmark_abstop,mmark_avgbot,mmark_avgleft,mmark_avgright,mmark_avgtop,name,nchars,ncolors,ncorners,nmarks,nregions,perc_white,sd_light,sd_sat,up_diag,v_sym,vert,w
2.7019230769230766,0.14066852367688026,1.8664723714952844,39.30048951805074,104,0.0744666590758962,0.2989786443825441,0.8053724233283153,0.17172722392176398,False,True,False,False,False,True,False,False,21st-century-fox,14,3,100,1,19,0.5454360780065006,0.2360974852170239,0.3311542246516688,0.15784586815227486,0.5033269071180686,0.4025069637883008,281
1.9108280254777068,0.09068627450980392,1.1139279911415791,9.537975030054383,157,0.030780416380320225,0.3443627450980392,0.9488972149368388,0.6568520511011132,False,False,False,False,False,False,False,False,3m,1,2,27,0,2,0.2395116772823779,0.0305240366511621,0.3777641808050906,0.08700980392156862,0.4247682482653986,0.4779411764705882,300
3.658536585365853,0.07538994800693241,1.4043095209572871,33.53497655468273,82,0.01451132369931089,0.4471403812824957,0.8062067387195945,0.17633535008536785,False,True,False,False,False,True,False,False,abbott-labs,7,4,50,1,14,0.6057846598202824,0.3536436104802823,0.3746203865450216,0.08001155401502022,0.1654568264616527,0.3974581166955517,300
5.403409090909091,0.1535005224660397,0.7550069956150209,61.72857042812702,176,0.2171187649789129,0.4183908045977012,0.8580450224170505,0.21528669281837187,False,False,False,False,False,True,False,False,abbvie-inc,3,2,21,1,11,0.7124832887700534,0.238592057096476,0.3655721149560429,0.1303030303030303,-0.016931768601622658,0.29780564263322884,951
1.0,0.1963369963369964,1.3477579102483066,9.96584369983749,185,0.9111829363070462,0.3025641025641025,0.3412022515361151,0.0,False,False,False,False,False,False,False,False,abc,3,2,16,1,6,0.31777940102264424,0.4635490466115504,0.0,0.18095238095238086,0.7778955056772391,0.3201465201465201,185
2.0795454545454546,0.11558611656843484,1.8800245564078641,34.25050153983515,88,0.3692377393637023,0.30189914865749834,0.8979052019183953,0.23935380020350475,False,False,False,False,False,False,False,False,abm,6,4,55,2,14,0.6103468547912992,0.15959735092253274,0.3716765746853665,0.1195153896529142,0.3398015490140285,0.4629993451211526,183
3.5576923076923075,0.11005999077065066,1.0129823430716345,44.76455501341359,104,0.4059399136956222,0.3627134287032765,0.7424195515526871,0.017400030101490566,False,False,False,True,False,False,False,True,accenture,9,4,80,1,14,0.6726608187134503,0.4229484140296455,0.12326811258678427,0.11975080756806646,-0.03795456467578481,0.4074757729580065,370
1.715151515151515,0.08311926605504588,1.4988028219037903,30.622267899568,165,0.2270717407623557,0.35192660550458715,0.8702712860583208,0.3112464946316971,False,False,False,False,False,True,False,False,ace,9,3,88,2,15,0.5032486586183769,0.27906290042152065,0.37329381693927066,0.16642201834862386,0.005858853991105158,0.3985321100917431,283
2.1215686274509804,0.13970588235294118,1.0320274029010796,33.246941596924515,255,0.3818647989938341,0.2826797385620915,0.8833329673334281,0.2309156613177639,False,False,False,True,False,False,False,True,actavis,7,3,69,1,12,0.6390318780566167,0.18690186173706888,0.3508043386143459,0.15305010893246188,0.03728503073386361,0.4245642701525055,541
1.4390243902439024,0.1067014291232136,4.164909331647752,97.79135546918823,205,0.0533153411469401,0.22112784859018927,0.8173518201176805,0.19172978156776446,False,False,False,False,False,False,False,False,activision-blizzard,15,4,165,2,34,0.4646494320407364,0.2422734333425039,0.28666803461994234,0.12079953650057935,0.17413327325279473,0.5513711857860177,295
1.489010989010989,0.20556594948550047,0.912508739001961,24.36949808152144,182,0.4170529805052611,0.3203928905519177,0.6242668330591592,0.0,False,False,False,False,False,False,False,True,adidas,6,3,55,2,15,0.6066985260016535,0.4773948085299097,0.0,0.1148269410664172,0.14493743504295695,0.3592142188961646,271
0.946808510638298,0.12119649303764828,1.035520994622851,31.8953742763767,188,0.0382846941512778,0.21248066013408973,0.8859399867115915,0.21897410013898644,False,False,False,True,False,False,True,True,adobe,5,3,46,3,15,0.570816085156712,0.28474798781779825,0.3800558513866301,0.10469314079422384,0.1825266746162046,0.5616297060340382,178
2.205298013245033,0.08266513936617029,1.4766277352780588,32.434575868269754,151,0.0017099430079254329,0.4520809469263077,0.9679419973150406,0.4125259087442365,False,False,False,False,False,False,False,False,adp,2,2,44,1,8,0.5084422170514886,0.032956391602919875,0.4272701546711526,0.15712103856433754,0.38217975585526376,0.30813287514318444,333
4.202150537634409,0.0547740197545645,0.6348761342075029,76.358850741279,465,0.2359624166855309,0.35468422627955704,0.8947865438029556,0.32748802830197843,False,False,False,False,False,False,True,False,advance-auto-parts,16,3,152,2,28,0.5413928969849192,0.2399521333073791,0.417554736320069,0.2383118826698593,0.03708722141531865,0.3522298712960192,1954
4.4444444444444455,0.08426517571884984,2.6515284286634837,20.289034418549488,54,0.15475048288732252,0.3753993610223642,0.4519931939718037,8.412534615337041e-05,False,False,False,False,False,True,False,False,aecom-technology,5,3,41,1,13,0.39916666666666667,0.4771701238991244,0.0013660776745269148,0.14976038338658146,0.43765504490302376,0.3905750798722045,240
2.112,0.13219148001756698,1.134802887459337,49.78534654509291,125,-0.0168170525098753,0.2981993851559069,0.8903462905630225,0.20627396009180413,False,True,False,False,False,True,False,False,aes,8,5,77,1,14,0.7202989580290193,0.2192122188392692,0.38355111746103693,0.18796662274923145,0.1998733539117616,0.38164251207729466,264
