"","X","name","feat","area","frac","label","selem","label.1","selem_desc"
"128",127,"aetna",0,1462,0.0842797025422263,82,82,1,"Medium-sized, horizontal decorative elements"
"131",130,"aflac",0,1319,0.00794961427193828,15,15,6,"Small curves decorations and fonts"
"133",132,"aflac",2,2613,0.0157485535197686,27,27,1,"Diagonal geometric solid, small size"
"134",133,"aflac",3,14622,0.0881268081002893,51,51,1,"Diagonal geometric decorative"
"147",146,"agco-corporation",4,2173,0.0350257898130239,27,27,1,"Diagonal geometric solid, small size"
"151",150,"agco-corporation",8,585,0.0094294003868472,92,92,1,"Small-medium triangles"
"159",158,"aig",0,2544,0.112765957446809,1,1,1,"Line based designs, medium sized"
"160",159,"air-products--chemicals",0,4142,0.0548580207671117,94,94,6,"Thin lines, round + strings"
"164",163,"air-products--chemicals",4,777,0.0102908455181182,25,25,6,"Mixture of strings and curved long solid elements"
"165",164,"air-products--chemicals",5,4112,0.0544606908243272,25,25,6,"Mixture of strings and curved long solid elements"
"166",165,"air-products--chemicals",6,3458,0.0457988980716253,25,25,6,"Mixture of strings and curved long solid elements"
"168",167,"airbnb",0,3885,0.0532702591526121,23,23,1,"Thin lines (outlines)"
"170",169,"airgas",0,3618,0.0506481507405437,58,58,1,"Small tall rectangular decorations"
"176",175,"ak-steel-holding-corporation",0,2936,0.0924637042169244,32,32,6,"Mixed italic fonts and font like decorative elements (&)"
"178",177,"akamai-technologies",0,1319,0.0364566058595909,15,15,6,"Small curves decorations and fonts"
"179",178,"akamai-technologies",1,741,0.0204809286898839,23,23,1,"Thin lines (outlines)"
"180",179,"akamai-technologies",2,194,0.00536207849640686,23,23,1,"Thin lines (outlines)"
"182",181,"alaska-air-group",0,4536,0.0654318850614506,71,71,6,"Small curvy decorations mixed with letters"
"183",182,"alaska-air-group",1,1651,0.0238157059604177,86,86,1,"Up diagonal line"
"184",183,"alaska-air-group",2,2673,0.0385580751254977,15,15,6,"Small curves decorations and fonts"
"187",186,"alaska-air-group",5,1541,0.0222289538976401,32,32,6,"Mixed italic fonts and font like decorative elements (&)"
"189",188,"alcoa",0,12267,0.19340344017532,7,7,1,"Medium square decorations"
"191",190,"alcoa",2,692,0.0109101802071673,44,44,1,"L-like"
"192",191,"alcoa",3,1070,0.0168697873145506,93,93,6,"Mix of small a and box"
"193",192,"alcoa",4,1327,0.0209216895013165,93,93,6,"Mix of small a and box"
"199",198,"allergan",4,412,0.0155977890512607,34,34,6,"Not very coherent... hollow objects?"
"200",199,"allergan",5,318,0.0120390701900507,93,93,6,"Mix of small a and box"
"210",209,"alliance-data-systems-corp",0,5519,0.0735513620129005,33,33,6,"Rounded blocky"
"219",218,"alliance-data-systems-corp",9,6653,0.0886641078948771,33,33,6,"Rounded blocky"
"227",226,"allstate",0,1125,0.037515006002401,94,94,6,"Thin lines, round + strings"
"233",232,"ally-financial",0,6319,0.0892892468560124,93,93,6,"Mix of small a and box"
"235",234,"altria-group",0,1801,0.0295004095004095,53,53,6,"Mix of diagonal ovals and P?"
"237",236,"altria-group",2,3125,0.0511875511875512,58,58,1,"Small tall rectangular decorations"
"238",237,"altria-group",3,1949,0.0319246519246519,92,92,1,"Small-medium triangles"
"240",239,"altria-group",5,2501,0.040966420966421,51,51,1,"Diagonal geometric decorative"
"241",240,"altria-group",6,1250,0.0204750204750205,51,51,1,"Diagonal geometric decorative"
"242",241,"altria-group",7,1250,0.0204750204750205,51,51,1,"Diagonal geometric decorative"
"243",242,"altria-group",8,625,0.0102375102375102,10,10,1,"Solid squares"
"244",243,"altria-group",9,1250,0.0204750204750205,58,58,1,"Small tall rectangular decorations"
"247",246,"amazon",1,335,0.0145969498910675,91,91,1,"Small horizontal line-like"
"249",248,"amazon",3,485,0.0211328976034858,54,54,6,"n and n-like decorations"
"251",250,"amazon",5,240,0.0104575163398693,32,32,6,"Mixed italic fonts and font like decorative elements (&)"
"256",255,"ameren-corporation",0,410,0.00568362976003992,15,15,6,"Small curves decorations and fonts"
"257",256,"ameren-corporation",1,558,0.00773528147829824,35,35,1,"Small decorations, diagonal orientation"
"258",257,"ameren-corporation",2,450,0.00623813022443406,16,16,1,"Small diagonal decorative"
"263",262,"ameren-corporation",7,551,0.00763824389702926,71,71,6,"Small curvy decorations mixed with letters"
"264",263,"ameren-corporation",8,706,0.00978693319655655,71,71,6,"Small curvy decorations mixed with letters"
"265",264,"ameren-corporation",9,779,0.0107988965440759,32,32,6,"Mixed italic fonts and font like decorative elements (&)"
"266",265,"ameren-corporation",10,2094,0.0290280993110332,79,79,6,"Strings and chars, m and w"
"268",267,"ameren-corporation",12,2517,0.0348919417220012,55,55,6,"Combined decorative strings and some small decorative objects"
"269",268,"ameren-corporation",13,2651,0.0367495182777216,79,79,6,"Strings and chars, m and w"
"270",269,"american-airlines",0,876,0.0137054884535953,41,41,1,"Small geometric decorations"
"274",273,"american-airlines",4,349,0.00546029163276801,16,16,1,"Small diagonal decorative"
"276",275,"american-airlines",6,606,0.00948119406721322,16,16,1,"Small diagonal decorative"
"280",279,"american-airlines",10,1131,0.0176950998185118,41,41,1,"Small geometric decorations"
"282",281,"american-electric-power-company",0,3884,0.0674305555555555,93,93,6,"Mix of small a and box"
"283",282,"american-electric-power-company",1,1201,0.0208506944444444,55,55,6,"Combined decorative strings and some small decorative objects"
"290",289,"american-electric-power-company",8,1042,0.0180902777777778,67,67,6,"Combined strings and curved decorations"
"292",291,"american-electric-power-company",10,1262,0.0219097222222222,55,55,6,"Combined decorative strings and some small decorative objects"
"296",295,"american-electric-power-company",14,713,0.0123784722222222,20,20,6,"two chars combined, or solid blocky smallish decorations"
"297",296,"american-electric-power-company",15,1888,0.0327777777777778,25,25,6,"Mixture of strings and curved long solid elements"
"298",297,"american-express",0,7011,0.35772233277208,5,5,1,"Large boxes"
"299",298,"american-express",1,192,0.00979641818460126,25,25,6,"Mixture of strings and curved long solid elements"
"301",300,"american-express",3,243,0.012398591764886,25,25,6,"Mixture of strings and curved long solid elements"
"302",301,"american-express",4,248,0.0126537068217766,25,25,6,"Mixture of strings and curved long solid elements"
"308",307,"american-family-insurance-group",2,10152,0.138337012509198,1,1,1,"Line based designs, medium sized"
"309",308,"american-family-insurance-group",3,4826,0.065761861935519,23,23,1,"Thin lines (outlines)"
"313",312,"american-financial-group",0,501,0.00705137227304715,23,23,1,"Thin lines (outlines)"
"320",319,"american-financial-group",7,1418,0.0199577762139338,23,23,1,"Thin lines (outlines)"
"323",322,"american-financial-group",10,473,0.00665728360309641,79,79,6,"Strings and chars, m and w"
"325",324,"american-financial-group",12,390,0.00548909218859958,71,71,6,"Small curvy decorations mixed with letters"
"328",327,"ameriprise-financial",0,1635,0.0449484536082474,77,77,1,"Small-medium hollow circle decorations"
"329",328,"ameriprise-financial",1,223,0.00613058419243986,27,27,1,"Diagonal geometric solid, small size"
"338",337,"ameriprise-financial",10,2032,0.0558625429553265,77,77,1,"Small-medium hollow circle decorations"
"349",348,"amerisourcebergen",0,364,0.00518407747632272,42,42,6,"Narrow hollow decorations and fonts"
"358",357,"amerisourcebergen",9,610,0.0086876023641672,42,42,6,"Narrow hollow decorations and fonts"
"359",358,"amerisourcebergen",10,398,0.00566830449334188,35,35,1,"Small decorations, diagonal orientation"
"364",363,"amgen",0,104873,0.340673726611227,26,26,1,"Large, rounded, geometric shapes overlayed with text"
"367",366,"anadarko",0,7607,0.098683271713044,55,55,6,"Combined decorative strings and some small decorative objects"
"370",369,"anadarko",3,6542,0.0848673542193682,25,25,6,"Mixture of strings and curved long solid elements"
"371",370,"anadarko",4,1866,0.0242070441720179,20,20,6,"two chars combined, or solid blocky smallish decorations"
"372",371,"anadarko",5,1870,0.0242589349419472,20,20,6,"two chars combined, or solid blocky smallish decorations"
"373",372,"anixter-international",0,3690,0.0711805555555556,92,92,1,"Small-medium triangles"
"377",376,"anixter-international",4,2194,0.0423225308641975,78,78,1,"Tall small decorations"
"379",378,"anthem",0,62,0.00603054177609182,70,70,1,"Small, curvy decorations"
"383",382,"anthem",4,102,0.00992121388969945,91,91,1,"Small horizontal line-like"
"386",385,"anthem",7,103,0.0100184806925396,91,91,1,"Small horizontal line-like"
"387",386,"anthem",8,300,0.0291800408520572,55,55,6,"Combined decorative strings and some small decorative objects"
"388",387,"anthem",9,272,0.0264565703725319,79,79,6,"Strings and chars, m and w"
"392",391,"apache",1,2246,0.0378369272237197,92,92,1,"Small-medium triangles"
"393",392,"apache",2,1964,0.0330862533692722,53,53,6,"Mix of diagonal ovals and P?"
"395",394,"apache",4,998,0.0168126684636119,28,28,1,"Small curved geometric decorative"
"397",396,"apple",0,319,0.0165964309869414,27,27,1,"Diagonal geometric solid, small size"
"398",397,"apple",1,5664,0.294677696269705,17,17,1,"Large solid decorative (house, apple, etc.)"
"399",398,"applied-materials",0,1047,0.0166438813467714,23,23,1,"Thin lines (outlines)"
"400",399,"applied-materials",1,987,0.0156900772581312,23,23,1,"Thin lines (outlines)"
"401",400,"applied-materials",2,2438,0.0387562394684132,94,94,6,"Thin lines, round + strings"
"405",404,"aramark",0,1626,0.00837453646477132,65,65,1,"Small, filled in circles or D-like objects"
"406",405,"aramark",1,14889,0.0766841779975278,71,71,6,"Small curvy decorations mixed with letters"
"407",406,"aramark",2,3435,0.0176915945611867,93,93,6,"Mix of small a and box"
"408",407,"aramark",3,3448,0.0177585496497734,93,93,6,"Mix of small a and box"
"417",416,"archerdanielsmidland-company",0,9206,0.131169497321327,1,1,1,"Line based designs, medium sized"
"420",419,"archerdanielsmidland-company",3,1941,0.0276558759831301,23,23,1,"Thin lines (outlines)"
"421",420,"archerdanielsmidland-company",4,697,0.00993103841331358,23,23,1,"Thin lines (outlines)"
"424",423,"arrow-electronics",0,21656,0.131599416626155,1,1,1,"Line based designs, medium sized"
"425",424,"arrow-electronics",1,15479,0.0940629557608167,1,1,1,"Line based designs, medium sized"
"435",434,"arthur-j-gallagher--co",1,2615,0.0373198230341087,33,33,6,"Rounded blocky"
"436",435,"arthur-j-gallagher--co",2,6215,0.0886970172684458,11,11,6,"Mix of chars and ovals"
"437",436,"arthur-j-gallagher--co",3,657,0.00937633794776652,94,94,6,"Thin lines, round + strings"
"438",437,"arthur-j-gallagher--co",4,387,0.00552304838019124,72,72,6,"Tall, narrow, decorations (decorative Y, a deer)"
"447",446,"asbury-automotive-group",0,211,0.00574149659863946,72,72,6,"Tall, narrow, decorations (decorative Y, a deer)"
"448",447,"asbury-automotive-group",1,222,0.00604081632653061,16,16,1,"Small diagonal decorative"
"450",449,"asbury-automotive-group",3,226,0.00614965986394558,70,70,1,"Small, curvy decorations"
"453",452,"asbury-automotive-group",6,400,0.0108843537414966,91,91,1,"Small horizontal line-like"
"461",460,"ashland",1,354,0.0070433744528452,35,35,1,"Small decorations, diagonal orientation"
"466",465,"ashland",6,255,0.00507361719060883,51,51,1,"Diagonal geometric decorative"
"467",466,"ashland",7,661,0.0131516116195782,15,15,6,"Small curves decorations and fonts"
"468",467,"ashland",8,639,0.0127138877835257,71,71,6,"Small curvy decorations mixed with letters"
"472",471,"ashland",12,655,0.0130322323915639,51,51,1,"Diagonal geometric decorative"
"476",475,"assurant",0,1548,0.020568695190008,25,25,6,"Mixture of strings and curved long solid elements"
"477",476,"assurant",1,397,0.00527504650544778,16,16,1,"Small diagonal decorative"
"480",479,"assurant",4,388,0.00515546106829657,70,70,1,"Small, curvy decorations"
"481",480,"assurant",5,1535,0.0203959606696784,41,41,1,"Small geometric decorations"
"482",481,"assurant",6,396,0.0052617592346532,71,71,6,"Small curvy decorations mixed with letters"
"483",482,"assurant",7,1568,0.0208344406058995,32,32,6,"Mixed italic fonts and font like decorative elements (&)"
"486",485,"assurant",10,7075,0.094007440871645,65,65,1,"Small, filled in circles or D-like objects"
"488",487,"att",0,651,0.03973388671875,25,25,6,"Mixture of strings and curved long solid elements"
"489",488,"att",1,695,0.04241943359375,25,25,6,"Mixture of strings and curved long solid elements"
"490",489,"att",2,786,0.0479736328125,1,1,1,"Line based designs, medium sized"
"491",490,"att",3,711,0.04339599609375,1,1,1,"Line based designs, medium sized"
"492",491,"att",4,346,0.0211181640625,23,23,1,"Thin lines (outlines)"
"493",492,"att",5,138,0.0084228515625,91,91,1,"Small horizontal line-like"
"494",493,"audi",0,8632,0.21653622315874,6,6,1,"Long, horizontal, boxy"
"495",494,"autoliv",0,406,0.00580497569345153,11,11,6,"Mix of chars and ovals"
"496",495,"autoliv",1,826,0.0118101229625393,53,53,6,"Mix of diagonal ovals and P?"
"497",496,"autoliv",2,580,0.00829282241921647,23,23,1,"Thin lines (outlines)"
"499",498,"autoliv",4,3285,0.0469688304260795,91,91,1,"Small horizontal line-like"
"500",499,"autoliv",5,555,0.00793537317700886,65,65,1,"Small, filled in circles or D-like objects"
"501",500,"autoliv",6,945,0.0135115813554475,27,27,1,"Diagonal geometric solid, small size"
"502",501,"autoliv",7,928,0.0132685158707464,71,71,6,"Small curvy decorations mixed with letters"
"503",502,"autoliv",8,394,0.00563340005719188,51,51,1,"Diagonal geometric decorative"
"504",503,"autoliv",9,581,0.00830712038890478,65,65,1,"Small, filled in circles or D-like objects"
"505",504,"autoliv",10,451,0.00644838432942522,15,15,6,"Small curves decorations and fonts"
"507",506,"autoliv",12,574,0.00820703460108665,58,58,1,"Small tall rectangular decorations"
"508",507,"autoliv",13,2095,0.0299542464969974,78,78,1,"Tall small decorations"
"509",508,"autoliv",14,1492,0.02133257077495,4,4,1,"Small round decorative elements"
"510",509,"autoliv",15,522,0.00746354017729482,70,70,1,"Small, curvy decorations"
"513",512,"autonation",0,530,0.00732246476927328,23,23,1,"Thin lines (outlines)"
"516",515,"autonation",3,791,0.0109284332688588,91,91,1,"Small horizontal line-like"
"518",517,"autoowners-insurance-group",0,2174,0.0299973783340002,74,74,1,"Small decorations, like an L rotated clockwise 90 degrees"
"519",518,"autoowners-insurance-group",1,1793,0.024740248092393,33,33,6,"Rounded blocky"
"520",519,"autoowners-insurance-group",2,729,0.0100589184937839,15,15,6,"Small curves decorations and fonts"
"522",521,"autoowners-insurance-group",4,858,0.0118388917251942,33,33,6,"Rounded blocky"
"524",523,"autoowners-insurance-group",6,1244,0.0171650131773212,79,79,6,"Strings and chars, m and w"
"526",525,"autoowners-insurance-group",8,619,0.00854111186234874,28,28,1,"Small curved geometric decorative"
"531",530,"autozone",0,2918,0.0690814393939394,11,11,6,"Mix of chars and ovals"
"532",531,"autozone",1,694,0.0164299242424242,32,32,6,"Mixed italic fonts and font like decorative elements (&)"
"533",532,"autozone",2,520,0.0123106060606061,86,86,1,"Up diagonal line"
"534",533,"autozone",3,325,0.00769412878787879,86,86,1,"Up diagonal line"
"536",535,"autozone",5,1056,0.025,27,27,1,"Diagonal geometric solid, small size"
"537",536,"autozone",6,1029,0.0243607954545455,27,27,1,"Diagonal geometric solid, small size"
"538",537,"autozone",7,488,0.0115530303030303,15,15,6,"Small curves decorations and fonts"
"543",542,"autozone",12,676,0.0160037878787879,27,27,1,"Diagonal geometric solid, small size"
"545",544,"autozone",14,316,0.00748106060606061,23,23,1,"Thin lines (outlines)"
"547",546,"autozone",16,237,0.00561079545454545,23,23,1,"Thin lines (outlines)"
"550",549,"autozone",19,1951,0.046188446969697,11,11,6,"Mix of chars and ovals"
"552",551,"autozone",21,1547,0.036624053030303,11,11,6,"Mix of chars and ovals"
"564",563,"avery-dennison-corporation",10,6747,0.104775215467039,2,2,1,"Small, geometric decorations"
"568",567,"avery-dennison-corporation",14,537,0.00833915676682972,93,93,6,"Mix of small a and box"
"570",569,"avis-budget-group",0,592,0.0223564954682779,67,67,6,"Combined strings and curved decorations"
"573",572,"avis-budget-group",3,136,0.00513595166163142,23,23,1,"Thin lines (outlines)"
"577",576,"avis-budget-group",7,1928,0.072809667673716,25,25,6,"Mixture of strings and curved long solid elements"
"579",578,"avis-budget-group",9,650,0.0245468277945619,55,55,6,"Combined decorative strings and some small decorative objects"
"585",584,"avnet",4,638,0.00861114860305034,91,91,1,"Small horizontal line-like"
"586",585,"avnet",5,708,0.00955594547172358,91,91,1,"Small horizontal line-like"
"587",586,"avnet",6,542,0.00731542718315562,91,91,1,"Small horizontal line-like"
"588",587,"avnet",7,607,0.00819273856120934,91,91,1,"Small horizontal line-like"
"589",588,"avnet",8,639,0.00862464570117425,91,91,1,"Small horizontal line-like"
"590",589,"avnet",9,560,0.00755837494938588,91,91,1,"Small horizontal line-like"
"591",590,"avnet",10,739,0.00997435551356458,91,91,1,"Small horizontal line-like"
"592",591,"avnet",11,454,0.00612768254825213,91,91,1,"Small horizontal line-like"
"593",592,"avnet",12,494,0.00666756647320826,91,91,1,"Small horizontal line-like"
"594",593,"avnet",13,374,0.00504791469833986,91,91,1,"Small horizontal line-like"
"596",595,"avnet",15,861,0.0116210014846808,78,78,1,"Tall small decorations"
"597",596,"avnet",16,671,0.00905655284113916,15,15,6,"Small curves decorations and fonts"
"598",597,"avnet",17,1253,0.0169118639492509,58,58,1,"Small tall rectangular decorations"
"600",599,"avnet",19,1037,0.0139964907544878,78,78,1,"Tall small decorations"
"604",603,"avon",0,168,0.00916730328495034,23,23,1,"Thin lines (outlines)"
"605",604,"avon",1,126,0.00687547746371276,23,23,1,"Thin lines (outlines)"
"606",605,"avon",2,106,0.005784131834552,23,23,1,"Thin lines (outlines)"
"607",606,"avon",3,163,0.00889446687766015,23,23,1,"Thin lines (outlines)"
"609",608,"bacardi",0,1047,0.0428676711431379,34,34,6,"Not very coherent... hollow objects?"
"613",612,"bacardi",4,192,0.00786112020962987,92,92,1,"Small-medium triangles"
"614",613,"bacardi",5,190,0.00777923354077956,92,92,1,"Small-medium triangles"
"615",614,"bacardi",6,2919,0.119513593187029,65,65,1,"Small, filled in circles or D-like objects"
"618",617,"baker-hughes",1,643,0.0156982421875,15,15,6,"Small curves decorations and fonts"
"620",619,"baker-hughes",3,1644,0.04013671875,65,65,1,"Small, filled in circles or D-like objects"
"621",620,"baker-hughes",4,1067,0.0260498046875,65,65,1,"Small, filled in circles or D-like objects"
"625",624,"baker-hughes",8,749,0.0182861328125,33,33,6,"Rounded blocky"
"627",626,"baker-hughes",10,1345,0.0328369140625,20,20,6,"two chars combined, or solid blocky smallish decorations"
"628",627,"ball-corp",0,16044,0.473889413988658,5,5,1,"Large boxes"
"629",628,"ball-corp",1,247,0.00729560491493384,27,27,1,"Diagonal geometric solid, small size"
"630",629,"ball-corp",2,394,0.0116375236294896,27,27,1,"Diagonal geometric solid, small size"
"634",633,"bank-of-america",0,374,0.00506939926263283,71,71,6,"Small curvy decorations mixed with letters"
"635",634,"bank-of-america",1,478,0.00647907178486229,71,71,6,"Small curvy decorations mixed with letters"
"642",641,"bank-of-america",8,1266,0.017160052049447,71,71,6,"Small curvy decorations mixed with letters"
"643",642,"bank-of-america",9,1433,0.0194236608111039,71,71,6,"Small curvy decorations mixed with letters"
"647",646,"barnes-noble",1,274,0.0116769656935862,72,72,6,"Tall, narrow, decorations (decorative Y, a deer)"
"671",670,"baxter-international",2,2454,0.0339067357512953,28,28,1,"Small curved geometric decorative"
"672",671,"baxter-international",3,3206,0.0442970639032815,71,71,6,"Small curvy decorations mixed with letters"
"673",672,"baxter-international",4,3963,0.0547564766839378,20,20,6,"two chars combined, or solid blocky smallish decorations"
"674",673,"baxter-international",5,4112,0.0568151986183074,20,20,6,"two chars combined, or solid blocky smallish decorations"
"675",674,"bbt",0,3937,0.130170276078691,82,82,1,"Medium-sized, horizontal decorative elements"
"676",675,"bcg",0,16203,0.0716902492765935,1,1,1,"Line based designs, medium sized"
"683",682,"becton-dickinson-and-company",0,1387,0.0510978485116416,67,67,6,"Combined strings and curved decorations"
"684",683,"becton-dickinson-and-company",1,1402,0.0516504568228706,25,25,6,"Mixture of strings and curved long solid elements"
"685",684,"becton-dickinson-and-company",2,2931,0.107979664014147,77,77,1,"Small-medium hollow circle decorations"
"686",685,"bed-bath-and-beyond",0,2817,0.0202327084680026,51,51,1,"Diagonal geometric decorative"
"687",686,"bed-bath-and-beyond",1,5265,0.0378151260504202,11,11,6,"Mix of chars and ovals"
"690",689,"bed-bath-and-beyond",4,8051,0.0578251813545931,11,11,6,"Mix of chars and ovals"
"691",690,"bed-bath-and-beyond",5,6740,0.0484091072326367,55,55,6,"Combined decorative strings and some small decorative objects"
"700",699,"berkshire-hathaway",7,783,0.0151321892393321,55,55,6,"Combined decorative strings and some small decorative objects"
"701",700,"berkshire-hathaway",8,700,0.0135281385281385,67,67,6,"Combined strings and curved decorations"
"704",703,"best-buy",0,10200,0.282705099778271,68,68,1,"Medium sized, mostly overlaid geometric decorations, mostly boxy, mixed with some strings"
"705",704,"best-buy",1,1115,0.0309035476718404,23,23,1,"Thin lines (outlines)"
"706",705,"best-buy",2,1082,0.0299889135254989,33,33,6,"Rounded blocky"
"709",708,"best-buy",5,718,0.01990022172949,58,58,1,"Small tall rectangular decorations"
"710",709,"best-buy",6,1083,0.0300166297117517,33,33,6,"Rounded blocky"
"711",710,"best-buy",7,1817,0.050360310421286,25,25,6,"Mixture of strings and curved long solid elements"
"712",711,"best-buy",8,17738,0.491629711751663,29,29,1,"Large geometric text overlayed"
"713",712,"big-lots",0,3637,0.052072446130718,15,15,6,"Small curves decorations and fonts"
"714",713,"big-lots",1,544,0.00778867492304388,65,65,1,"Small, filled in circles or D-like objects"
"715",714,"big-lots",2,6222,0.0890829694323144,33,33,6,"Rounded blocky"
"717",716,"biogen-idec-inc",0,1711,0.0256876050924814,23,23,1,"Thin lines (outlines)"
"721",720,"black-and-decker",0,1799,0.0271982341557813,32,32,6,"Mixed italic fonts and font like decorative elements (&)"
"723",722,"black-and-decker",2,2496,0.0377358490566038,54,54,6,"n and n-like decorations"
"724",723,"black-and-decker",3,3038,0.045930091920658,94,94,6,"Thin lines, round + strings"
"725",724,"black-and-decker",4,3333,0.0503900580551524,33,33,6,"Rounded blocky"
"727",726,"blackrock",1,984,0.0129083038173947,72,72,6,"Tall, narrow, decorations (decorative Y, a deer)"
"728",727,"blackrock",2,999,0.0131050767414404,72,72,6,"Tall, narrow, decorations (decorative Y, a deer)"
"730",729,"blackstone",0,34588,0.590763134522101,66,66,1,"Large, horizontal rectangles with overlay"
