,K,logo_dec,des_enc,batches,iters,adam_lr,annealing_batches,num_particles,center_bp,weight_decay,folds,bin,cat1,cat2,cat3,cat4,cat5
0,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0,-7996.00863769531,-541.7241793823245,-288.77373168945303,-553.2951470947265,-138.59354278564447,-329.21093597412107
1,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0,-7965.430795898437,-574.4625061035156,-314.9925576782226,-545.7518499755861,-124.11429466247556,-365.5502099609375
2,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0,-7685.212646484373,-533.9263317871095,-299.09023162841794,-526.9367126464842,-101.86036735534671,-361.87335357665995
3,20.0,400.0,200.0,5000.0,10.0,1e-05,4000.0,1.0,1.0,0.0,4.0,-8069.739296875,-567.6197998046877,-300.6684344482421,-553.0610540771482,-124.00156387329099,-338.25686889648443
