9.935323123070124440e-01,9.935673506225762841e-01,9.933629461934140314e-01
7.899438316980192387e-02,6.984827530243803428e-02,7.224037517618728255e-02
8.879144929626464622e-01,1.302302390091231721e-01,1.622199091695233630e-01
9.842854519040453165e-02,3.487742246925322753e-01,5.968793145525811417e-01
1.316316950267889807e-01,4.692151300336924735e-01,3.008011270485489441e-01
9.360796677897044171e-01,5.154116196438205399e-01,1.554261878332914015e-01
4.542059517078658737e-01,4.364969156338046052e-01,4.370323683420391792e-01
1.179423360106659213e-01,1.644768324475813781e-01,4.854626857373484650e-01
6.456192730084269193e-01,6.422986919799734684e-01,6.531275605288567876e-01
2.136593096867734354e-01,6.013108707657116581e-01,8.017236933100730933e-01
3.868211604359946265e-01,6.976994931869496819e-01,2.627362433062568337e-01
9.616134657765443849e-01,7.905128176339697443e-01,1.396216877950653412e-01
7.302009122937710428e-01,6.430115741842971078e-01,4.055917374130384445e-01
6.822590712311550343e-01,1.538059091639706333e-01,2.485146720999182324e-01
