"","down.to.earth","honest","wholesome","cheerful","daring","spirited","imaginative","up.to.date","reliable","intelligent","successful","upper.class","charming","outdoorsy","tough"
"freeport-mcmoran",2.33333333333333,3,3,3,2,2,3,3,2.66666666666667,3,3,2.33333333333333,2.33333333333333,1.33333333333333,2.5
"frontier",0,4,0,1.33333333333333,1.33333333333333,1.33333333333333,0,2.66666666666667,4,4,4,0,0,0,2
"gamestop",1.33333333333333,3.66666666666667,2.5,2,3.33333333333333,3.33333333333333,4,2.66666666666667,3,3.33333333333333,4,2,1.33333333333333,1,1.5
"gap",2,3.33333333333333,2,2.33333333333333,2.66666666666667,3,1.5,3,3.33333333333333,2.66666666666667,3.66666666666667,1.33333333333333,2.33333333333333,2,0
"garmin",2.33333333333333,3.66666666666667,4,2.66666666666667,3,2.33333333333333,3.5,2.33333333333333,4,4,4,1.66666666666667,2.33333333333333,2.66666666666667,2.5
"gatorade",2,3.33333333333333,3,2.66666666666667,2.66666666666667,3.33333333333333,4,2.66666666666667,4,2,3.66666666666667,2,2.66666666666667,2.66666666666667,3
"ge",2.33333333333333,3.66666666666667,2,1,1.66666666666667,0.666666666666667,2.5,3,3.33333333333333,4,4,1.33333333333333,2.33333333333333,2,3
"geico",1.33333333333333,3,0,1.33333333333333,0,1,1,1.66666666666667,2.66666666666667,2.66666666666667,4,0,0.333333333333333,0,1.5
"general-dynamics",2.66666666666667,4,4,1.33333333333333,4,2.66666666666667,4,4,4,2.66666666666667,4,1.33333333333333,2.66666666666667,2,4
"general-mills",2.66666666666667,3.33333333333333,3,2.66666666666667,1.33333333333333,0.666666666666667,1.5,1,3.33333333333333,1.66666666666667,3,1.66666666666667,2,1.66666666666667,2
"general-motors",1.33333333333333,2.66666666666667,2,2.66666666666667,2,1.66666666666667,2,2.66666666666667,3,2.33333333333333,3.33333333333333,1,1.66666666666667,3.33333333333333,3.5
"gilead-sciences",1.66666666666667,1.33333333333333,1,1.66666666666667,1.66666666666667,2,1,1.66666666666667,1.66666666666667,1.33333333333333,1.33333333333333,1.33333333333333,1,1.33333333333333,2
"gillette",3.33333333333333,3.33333333333333,3.5,3,3.33333333333333,3,3,3.33333333333333,3.33333333333333,3,3,3.33333333333333,3,3.33333333333333,3.5
"global-partners-lp",1.66666666666667,2,3,2,2,2,1.5,1.66666666666667,2.33333333333333,1.66666666666667,3.33333333333333,1.66666666666667,1,1,0.5
"gmc",2.33333333333333,3.66666666666667,3,3,3,1.33333333333333,1,3,4,3,4,1.66666666666667,2.33333333333333,1,3
"goldman-sachs",0,2.66666666666667,1,0,1,0.666666666666667,2.5,2.33333333333333,2.66666666666667,2.66666666666667,3.33333333333333,2.33333333333333,0.333333333333333,1.33333333333333,1.5
"goodyear",0,0,0,0,0,0,0,0,0.666666666666667,1.33333333333333,2,0,0,0.666666666666667,2
"google",1,2.66666666666667,2.5,2,3.66666666666667,3.33333333333333,4,3,3.66666666666667,4,4,2.33333333333333,2,1.33333333333333,1
"graybar-electric-company",1.33333333333333,4,1.5,0.333333333333333,0,0,0,0.666666666666667,4,2.33333333333333,4,0,1.33333333333333,1.66666666666667,1
"grey-goose",0,0.333333333333333,1,0.333333333333333,1,1,0,0.333333333333333,0.333333333333333,0.666666666666667,1,0.666666666666667,1,0.333333333333333,0.5
"group-1-automotive",1,2.33333333333333,1,1.33333333333333,1,1.66666666666667,2.5,1.33333333333333,1.33333333333333,1,1.33333333333333,0.666666666666667,1.66666666666667,0.333333333333333,2.5
"guardian-life-ins-co-of-america",1.66666666666667,2,1.5,1,1,1,1,2.66666666666667,3,2.66666666666667,3,2,1.66666666666667,1.33333333333333,1.5
"gucci",0,0.666666666666667,1,0,1.33333333333333,1.33333333333333,0.5,2.33333333333333,1,0,2,3.33333333333333,1.33333333333333,0,0
"halliburton",1.33333333333333,3,2.5,1.66666666666667,2,2,3,2.66666666666667,2.33333333333333,2.33333333333333,2.66666666666667,2,1.66666666666667,2,2.5
"hanesbrands",2.33333333333333,3,2.5,3,3,3,2.5,3,2.33333333333333,2,3.33333333333333,2.33333333333333,2.33333333333333,2.66666666666667,2.5
"harley-davidson",2.33333333333333,3,3,3,3,2.33333333333333,3,2.66666666666667,3,3,3,2.33333333333333,3,3.33333333333333,3
"harman-international-industries",0,3,2,0.666666666666667,3.33333333333333,3.66666666666667,3.5,3.33333333333333,2.33333333333333,2.33333333333333,3,1.33333333333333,0.666666666666667,1,0
"harman-intl",1.66666666666667,3.66666666666667,3,2.33333333333333,3.66666666666667,2.33333333333333,3.5,3,3.33333333333333,3.66666666666667,4,2.66666666666667,2,2.33333333333333,3
"harris-corp",0.333333333333333,1,1.5,0.666666666666667,0,0,0.5,1,3,3,2.66666666666667,0.333333333333333,0.333333333333333,1,3
"hbo",1.33333333333333,3.66666666666667,2,2.33333333333333,3.33333333333333,3.33333333333333,4,3,3.33333333333333,3.66666666666667,4,1.66666666666667,0.666666666666667,0,0
"hca-holdings",2,3.66666666666667,3,3.33333333333333,1.33333333333333,2.66666666666667,2.5,3,3,3,4,2.33333333333333,1.33333333333333,1.66666666666667,0.5
"hcl-technologies",2.66666666666667,4,4,2.66666666666667,4,4,4,4,4,4,4,4,2.66666666666667,2.66666666666667,2
"hd-supply",2.66666666666667,3,3.5,1.66666666666667,1,1.33333333333333,1,2.33333333333333,3.66666666666667,2,3.66666666666667,0,1,2.66666666666667,3
"health-net-inc",1,0.666666666666667,2,2.33333333333333,0.666666666666667,0.333333333333333,2,1,1,1,2,0.333333333333333,1.66666666666667,1,1.5
"heineken",0,2,1,0,0.333333333333333,0.333333333333333,0.5,0,0.333333333333333,1,1.66666666666667,0.666666666666667,1,0,0
"heinz",2.33333333333333,2.33333333333333,3,2,2.33333333333333,2,2,2.33333333333333,2.66666666666667,2,3.66666666666667,2,2.33333333333333,2.33333333333333,2.5
"henry-schein-inc",1,2.66666666666667,1.5,1.33333333333333,0.666666666666667,0.666666666666667,0,2,4,3.33333333333333,4,1.66666666666667,1,2.33333333333333,1.5
"hermes",0.666666666666667,1,1,1,1.33333333333333,1,1,1.33333333333333,1,0.666666666666667,1,1.33333333333333,1,1,0
