"","sincerity","excitement","competence","sophistication","ruggedness"
"black-and-decker",2.09090909090909,1.27272727272727,1.77777777777778,0.5,1.4
"blackrock",3.36363636363636,2.18181818181818,3.44444444444444,2.33333333333333,1.8
"blackstone",2,1.81818181818182,1.33333333333333,2,1.8
"bmw",0.272727272727273,0.545454545454545,0.666666666666667,1.66666666666667,0
"bnsf-railway",3.27272727272727,2.54545454545455,3.11111111111111,1.83333333333333,2.4
"boeing",2.54545454545455,2.63636363636364,3.66666666666667,2,2.4
"bond-street",0.727272727272727,0.909090909090909,2.77777777777778,1.5,0.6
"booking",2.72727272727273,3.36363636363636,3.66666666666667,3.16666666666667,1.4
"booz-allen-hamilton-holding-corp",3.18181818181818,2.63636363636364,3.44444444444444,2.66666666666667,2.2
"borgwarner-inc",2,1.54545454545455,3,0.833333333333333,2.8
"boston-scientific-corp",1.72727272727273,3.27272727272727,2.88888888888889,1.66666666666667,0.4
"bristol-myers-squibb",1.63636363636364,2.54545454545455,3.44444444444444,1,1.2
"broadcom",2.18181818181818,2.27272727272727,2.88888888888889,2.33333333333333,2.2
"budweiser",2.36363636363636,2.81818181818182,2.55555555555556,2.66666666666667,2.6
"buick",1.90909090909091,2.81818181818182,3.11111111111111,2,2.4
"burberry",3.54545454545455,4,3.88888888888889,4,4
"burger-king",2.27272727272727,1.63636363636364,3.11111111111111,1.33333333333333,0
"burlington-stores",2.81818181818182,2.54545454545455,2.88888888888889,2.83333333333333,0.8
"cabelas-inc",2.81818181818182,2.36363636363636,2.44444444444444,1.5,3.8
"cablevision-systems-corporation",2.72727272727273,0.818181818181818,2.77777777777778,0.833333333333333,0.8
"cadbury",2.45454545454545,2.18181818181818,2.22222222222222,2.16666666666667,0.4
"cadillac",2.63636363636364,2.72727272727273,3.11111111111111,2.83333333333333,2
"calpine-corporation",1.45454545454545,1.81818181818182,2.33333333333333,0,0.8
"calvin-klein",0.454545454545455,1.45454545454545,0.666666666666667,2.16666666666667,0.8
"camel",0.818181818181818,0.454545454545455,0.777777777777778,0.666666666666667,0.6
"cameron-international-corporation",2.36363636363636,2.36363636363636,2.22222222222222,2.16666666666667,2.2
"campbells",1.72727272727273,0,1.11111111111111,0,0
"canon",0.363636363636364,0.545454545454545,1.11111111111111,0.166666666666667,0
"capital-one",2.63636363636364,2.18181818181818,2.88888888888889,1.66666666666667,1.8
"cardinal-health",0.909090909090909,0.545454545454545,1.22222222222222,0,0
"carefree",1.81818181818182,0.727272727272727,3.55555555555556,0.666666666666667,0.2
"carmax",3.36363636363636,2.36363636363636,3.11111111111111,1.66666666666667,0.8
"carrier",1.36363636363636,1.09090909090909,2.22222222222222,1.16666666666667,0.8
"cartier",1.72727272727273,2.09090909090909,2.55555555555556,3,0.4
"caseys-general",3,1.18181818181818,1.66666666666667,0.666666666666667,2
"caterpillar",2.72727272727273,2.72727272727273,3,2,3.4
"cbi",2.54545454545455,2.54545454545455,4,1.33333333333333,0
"cbre",2.18181818181818,2.18181818181818,3,1.83333333333333,1
"cbs",2.09090909090909,2.54545454545455,3,1.83333333333333,0.6
"cdw-corporation",2.27272727272727,2.72727272727273,3.22222222222222,1.66666666666667,1
"celanese-corporation",1.09090909090909,2.72727272727273,3.55555555555556,1.5,1.6
"celgene",0.454545454545455,1.36363636363636,2.77777777777778,0.5,0
"centene-corporation",1.45454545454545,2.90909090909091,3.55555555555556,0.666666666666667,0.8
"centerpoint-energy",2.36363636363636,0.818181818181818,2.88888888888889,0.333333333333333,0.8
"centurylink",3,3,3,3,2.6
"cerner-corp",0.0909090909090909,0.545454545454545,1.22222222222222,0,0
"ch-robinson",2.18181818181818,1.09090909090909,3.55555555555556,0,3.2
"ch2m-hill-companies",1.09090909090909,2.63636363636364,2.44444444444444,1.83333333333333,0.6
"charles-schwab",1.54545454545455,0.727272727272727,2.77777777777778,0.5,0
"charter-communications",1.45454545454545,0.909090909090909,1.11111111111111,0.833333333333333,1.6
"chase",1.09090909090909,2,3.88888888888889,1.5,0.6
"chesapeake-energy-corporation",2.18181818181818,2.18181818181818,3.66666666666667,1.16666666666667,2.4
"chesterfield",2.27272727272727,2.54545454545455,2.22222222222222,2.5,0.6
"chevron",2.54545454545455,2.54545454545455,2.88888888888889,1.5,2.8
"chipotle-mexican",2.90909090909091,3.18181818181818,2.33333333333333,1.83333333333333,2.8
"chs",1.90909090909091,1.81818181818182,3,1,3.2
"chubb",0.454545454545455,0.272727272727273,0,0,0.2
"cigna",0.363636363636364,1,0.888888888888889,0.833333333333333,0.8
"cincinnati-financial-corporation",2.27272727272727,1.54545454545455,2.11111111111111,1.16666666666667,0.8
"cinemark",1.72727272727273,1.81818181818182,1.77777777777778,1.33333333333333,1.2
"cintas-corp",1.72727272727273,1.81818181818182,2,1.33333333333333,2.4
"cisco",0.181818181818182,0.272727272727273,2.77777777777778,0.5,0.6
"citi",1.81818181818182,1.72727272727273,3,1.83333333333333,1
"citizens",2.90909090909091,2.63636363636364,3,2.66666666666667,1.6
"clinique",1.90909090909091,1.81818181818182,2,3.16666666666667,0.6
"clorox",2,1,2.77777777777778,0.833333333333333,0.4
"cme",1.45454545454545,1.81818181818182,4,1.33333333333333,0
"cms-energy-corporation",1.90909090909091,1.63636363636364,3.11111111111111,0.666666666666667,2.2
"coach",2.18181818181818,2.90909090909091,3.33333333333333,3.83333333333333,0.4
"coca-cola",3.27272727272727,3.72727272727273,3.22222222222222,2.5,1.2
"cognizant",0,0.909090909090909,2.88888888888889,0.666666666666667,0
"colgate",2.54545454545455,0.909090909090909,2.88888888888889,0.166666666666667,0
"comcast-corporation",0.727272727272727,0.727272727272727,2.33333333333333,1.16666666666667,0.4
"commercial-metals-company",1.63636363636364,1.54545454545455,1.55555555555556,1.33333333333333,1.6
"community-health-systems",1.63636363636364,0.363636363636364,1.88888888888889,0.333333333333333,0
"conagra-foods",0.636363636363636,0.454545454545455,2.33333333333333,0,0.6
"conocophillips",1.90909090909091,2,3,1.33333333333333,2.8
"cons-edison-inc",0.636363636363636,1.54545454545455,3,0.166666666666667,1
"constellation-brands",3.45454545454545,3.36363636363636,3.66666666666667,3.16666666666667,1.8
"coors",2.36363636363636,2.90909090909091,3.11111111111111,2,3.8
"coremark-holding-company",0.636363636363636,0.454545454545455,1.33333333333333,0,0
"corning",1.90909090909091,2.18181818181818,2,2,1.4
"costco",2.81818181818182,2,2.55555555555556,1.16666666666667,1.6
"courtyard",3,2.72727272727273,3.66666666666667,2.16666666666667,1.6
"crown-holdings-inc",2.18181818181818,2.09090909090909,3.11111111111111,1.16666666666667,0
"csc",2.09090909090909,2.54545454545455,4,2,0.6
"cst-brands",1.63636363636364,2,2.55555555555556,1.66666666666667,2
"csx",3.18181818181818,1.72727272727273,2.88888888888889,1.5,3.8
"cummins",0.909090909090909,0.545454545454545,1.22222222222222,0,2.4
"cvs",1.90909090909091,1.36363636363636,2.33333333333333,0.666666666666667,0
"dana-holding-corporation",0.454545454545455,0.545454545454545,1.77777777777778,0.166666666666667,0.8
"danaher",1.27272727272727,1,3.33333333333333,1,2.2
"danone",1.54545454545455,2,1,0.5,0
"darden-restaurants",2.27272727272727,2.45454545454545,2.22222222222222,2.16666666666667,1.8
"davita-healthcar",0.545454545454545,0,1.55555555555556,0,0
"dean-foods-company",1.72727272727273,1.36363636363636,2.66666666666667,1,2.2
"deere--company",2.45454545454545,2.27272727272727,2.55555555555556,1.66666666666667,3
"dell",3.27272727272727,3.18181818181818,3.55555555555556,2.5,1.8
"deloitte",2.27272727272727,3.54545454545455,3.44444444444444,2.33333333333333,0.4
"delta",2.63636363636364,2,3.77777777777778,1.5,0.6
"devon",2,1.72727272727273,2.77777777777778,1.5,1.2
"dhl",2.09090909090909,1.72727272727273,2.33333333333333,1.66666666666667,1.8
"dicks-sporting",2.27272727272727,2.09090909090909,2.44444444444444,1.16666666666667,3
"dillards",2.63636363636364,2.54545454545455,2.22222222222222,2.16666666666667,0.4
"dior",0.818181818181818,2.90909090909091,1.22222222222222,3.66666666666667,0
"directv",1.72727272727273,2.27272727272727,2.88888888888889,1.33333333333333,0.8
"discover",1.81818181818182,0.727272727272727,4,1.33333333333333,0
"discovery-media",1.54545454545455,2.09090909090909,1.77777777777778,1.66666666666667,0
"dish-networks",2.09090909090909,2.36363636363636,3.22222222222222,1.16666666666667,2.2
"disney",3.09090909090909,3.45454545454545,3.66666666666667,3,0.8
"dollar-general",2.36363636363636,0.545454545454545,2,1.16666666666667,1
"dollar-tree",2.81818181818182,2.81818181818182,2.33333333333333,2.33333333333333,2.6
"dominion",1.09090909090909,1.09090909090909,3.55555555555556,0.333333333333333,0.6
"dominos-pizza",2.18181818181818,1.36363636363636,1.88888888888889,1,1.4
"domtar-corporation",2.54545454545455,0.818181818181818,2.11111111111111,0.5,2.2
"doritos-tortilla-chips",2.54545454545455,2.63636363636364,1.66666666666667,1.16666666666667,2.6
"doubletree",3.27272727272727,1.09090909090909,3.55555555555556,1.33333333333333,0
"dover-corporation",2.90909090909091,1.09090909090909,4,2,1.6
"dow",0,0,0.333333333333333,0,0
"dr-horton",2.63636363636364,2.54545454545455,3.22222222222222,2,1.8
"dr-pepper",2.18181818181818,2.54545454545455,2,1.5,0.6
"dte-energy-co",0.818181818181818,0.272727272727273,1.33333333333333,0,0.2
"du-pont",0.909090909090909,0.181818181818182,2.44444444444444,0,0.4
"duke-energy",3.63636363636364,3.81818181818182,3.66666666666667,3.16666666666667,1.2
"eastman-chemical-company",0.454545454545455,0.181818181818182,1.44444444444444,0,0.4
"eaton",1.90909090909091,1.09090909090909,3.66666666666667,0,2.4
"ebay",2.45454545454545,2.36363636363636,0.666666666666667,0.833333333333333,0
"ecolab-inc",2.36363636363636,2,2.22222222222222,2,2.2
"edison-international",1,0.636363636363636,3.22222222222222,1,0.6
"electronic-arts",2.63636363636364,3.54545454545455,3.55555555555556,2.66666666666667,2.4
"eli-lilly-and-company",0.909090909090909,1.27272727272727,3.11111111111111,0.333333333333333,0
"emc-corporation",1.45454545454545,2.09090909090909,2.88888888888889,1.33333333333333,0
"emc2",1.36363636363636,1.27272727272727,2.44444444444444,1.16666666666667,2.8
"emcor-group",1.36363636363636,1,3,0.5,1.4
"emerson",1.36363636363636,0.545454545454545,2.33333333333333,0.166666666666667,1.2
"energy-future-holdings-corp",2,2.09090909090909,2.22222222222222,1.5,2.4
"energy-transfer-equity",0.636363636363636,0.909090909090909,2.22222222222222,0,1
"entergy",0.727272727272727,0.909090909090909,2.66666666666667,0.666666666666667,2
"enterprise",2,1.72727272727273,3.55555555555556,1,0.8
"envision-healthcare-holdings",3.18181818181818,2.27272727272727,3.77777777777778,2.5,2
"eog-resources",1.45454545454545,1.18181818181818,3,1.16666666666667,3.6
"equinix",0.818181818181818,0.727272727272727,0.444444444444444,0.666666666666667,0.6
"erie-insurance-group",1,0.454545454545455,1.88888888888889,1,2
"espn",1.45454545454545,2.36363636363636,2.11111111111111,1.33333333333333,1.8
"essendant",0.727272727272727,0.727272727272727,2,0.166666666666667,0.2
"esso",0.727272727272727,0.181818181818182,1.55555555555556,0,1
"estee-lauder",2.09090909090909,3.09090909090909,2.88888888888889,3.83333333333333,0.2
"eversource-energy",0.636363636363636,0.727272727272727,1.33333333333333,0.166666666666667,0.4
"exelon",1.45454545454545,2.18181818181818,3.55555555555556,2,2.2
"expedia",2.45454545454545,2.54545454545455,2.77777777777778,1.5,1.8
"expeditors-international-of-washington",0.818181818181818,0.636363636363636,1.77777777777778,0.166666666666667,1.2
"express-scripts",2.36363636363636,1.81818181818182,2.77777777777778,0.833333333333333,0
"exxonmobil",1.18181818181818,2.36363636363636,3.55555555555556,1.5,3.4
"facebook",0,0.818181818181818,0.888888888888889,0,0
"family-dollar",1,0.454545454545455,1.55555555555556,0.666666666666667,0.4
"fannie-mae",0.636363636363636,0.363636363636364,1,1,0.6
"fanta",3.54545454545455,3.27272727272727,3,2.5,1
"farmers-insurance-exchange",3,0.545454545454545,2.55555555555556,0.166666666666667,2
"fastenal-co",2.09090909090909,1,2.44444444444444,1,0.6
"fedex",1.72727272727273,1.27272727272727,1.77777777777778,0.833333333333333,0.8
"fidelity-national",0.363636363636364,0.272727272727273,1,0,0
"fifth-third-bank",2.54545454545455,2,3,1.66666666666667,0
"first-american-financial-corporation",1.63636363636364,1.09090909090909,3.55555555555556,0.666666666666667,0.4
"first-data-corp",0,0,0.777777777777778,0,0
"firstenergy-corp",0.727272727272727,0.181818181818182,1.88888888888889,0,0.4
"fiserv-inc",1.18181818181818,1.90909090909091,1,1.33333333333333,0.8
"florida-power-and-light",2.09090909090909,1.45454545454545,2.66666666666667,1.16666666666667,2.6
"flowers-foods",3.27272727272727,1.81818181818182,3.55555555555556,0.666666666666667,0.8
"fluor",1.45454545454545,2,3,1.5,1
"fmc-technologies",0,0,1.55555555555556,0,0
"folgers",2.36363636363636,1.27272727272727,2.88888888888889,0.833333333333333,2
"food-4-less",3.27272727272727,4,4,3.33333333333333,2.4
"foot-locker",1.81818181818182,2.54545454545455,4,0.666666666666667,0
"ford",1.09090909090909,0.272727272727273,1.66666666666667,0.333333333333333,2
"fossil",1,2,1.66666666666667,1.5,2
"fox",0.454545454545455,1.27272727272727,2.66666666666667,0.5,0
"franklin-templeton-investments",1.18181818181818,1.72727272727273,3.22222222222222,1,0.8
"freddie-mac",1.90909090909091,1.90909090909091,2.77777777777778,1.5,1.2
"freeport-mcmoran",2.81818181818182,2.45454545454545,2.88888888888889,2.33333333333333,1.8
"frontier",1.45454545454545,1.45454545454545,4,0,0.8
"gamestop",2.36363636363636,3.27272727272727,3.44444444444444,1.66666666666667,1.2
"gap",2.45454545454545,2.63636363636364,3.22222222222222,1.83333333333333,1.2
"garmin",3.09090909090909,2.72727272727273,4,2,2.6
"gatorade",2.72727272727273,3.09090909090909,3.22222222222222,2.33333333333333,2.8
"ge",2.27272727272727,1.90909090909091,3.77777777777778,1.83333333333333,2.4
"geico",1.54545454545455,0.909090909090909,3.11111111111111,0.166666666666667,0.6
"general-dynamics",2.90909090909091,3.63636363636364,3.55555555555556,2,2.8
"general-mills",2.90909090909091,1.09090909090909,2.66666666666667,1.83333333333333,1.8
"general-motors",2.18181818181818,2.09090909090909,2.88888888888889,1.33333333333333,3.4
"gilead-sciences",1.45454545454545,1.63636363636364,1.44444444444444,1.16666666666667,1.6
"gillette",3.27272727272727,3.18181818181818,3.11111111111111,3.16666666666667,3.4
"global-partners-lp",2.09090909090909,1.81818181818182,2.44444444444444,1.33333333333333,0.8
"gmc",3,2.18181818181818,3.66666666666667,2,1.8
"goldman-sachs",0.909090909090909,1.54545454545455,2.88888888888889,1.33333333333333,1.4
"goodyear",0,0,1.33333333333333,0,1.2
"google",2,3.45454545454545,3.88888888888889,2.16666666666667,1.2
"graybar-electric-company",1.81818181818182,0.181818181818182,3.44444444444444,0.666666666666667,1.4
"grey-goose",0.363636363636364,0.636363636363636,0.666666666666667,0.833333333333333,0.4
"group-1-automotive",1.45454545454545,1.54545454545455,1.22222222222222,1.16666666666667,1.2
"guardian-life-ins-co-of-america",1.54545454545455,1.45454545454545,2.88888888888889,1.83333333333333,1.4
"gucci",0.363636363636364,1.45454545454545,1,2.33333333333333,0
"halliburton",2.09090909090909,2.36363636363636,2.44444444444444,1.83333333333333,2.2
"hanesbrands",2.72727272727273,2.90909090909091,2.55555555555556,2.33333333333333,2.6
"harley-davidson",2.81818181818182,2.72727272727273,3,2.66666666666667,3.2
"harman-international-industries",1.36363636363636,3.45454545454545,2.55555555555556,1,0.6
"harman-intl",2.63636363636364,3.09090909090909,3.66666666666667,2.33333333333333,2.6
"harris-corp",0.818181818181818,0.363636363636364,2.88888888888889,0.333333333333333,1.8
"hbo",2.36363636363636,3.36363636363636,3.66666666666667,1.16666666666667,0
"hca-holdings",3,2.36363636363636,3.33333333333333,1.83333333333333,1.2
"hcl-technologies",3.27272727272727,4,4,3.33333333333333,2.4
"hd-supply",2.63636363636364,1.45454545454545,3.11111111111111,0.5,2.8
"health-net-inc",1.45454545454545,0.909090909090909,1.33333333333333,1,1.2
"heineken",0.727272727272727,0.272727272727273,1,0.833333333333333,0
"heinz",2.36363636363636,2.18181818181818,2.77777777777778,2.16666666666667,2.4
"henry-schein-inc",1.63636363636364,0.909090909090909,3.77777777777778,1.33333333333333,2
"hermes",0.909090909090909,1.18181818181818,0.888888888888889,1.16666666666667,0.6
"hersheys",2.36363636363636,0.272727272727273,1.33333333333333,0.666666666666667,0
"hertz",2,1.90909090909091,3.44444444444444,1.5,2
"hess",1.27272727272727,0.363636363636364,3,0.166666666666667,3
"hilton",0,0.454545454545455,1.22222222222222,1.33333333333333,0
"hm",3.27272727272727,3.63636363636364,2.88888888888889,2.66666666666667,0.4
"hollyfrontier-corporation",1.90909090909091,2,2.11111111111111,1.5,0.6
"honda",0.909090909090909,0.909090909090909,1.88888888888889,1.5,0.4
"hormel",2.54545454545455,1.09090909090909,4,0.666666666666667,0
"host-hotels-and-resorts",2.09090909090909,1.63636363636364,2.77777777777778,2.33333333333333,1
"hp",1.36363636363636,2.81818181818182,3.77777777777778,1,0.4
"hp-enterprise",1.54545454545455,2.45454545454545,3.55555555555556,1.16666666666667,0.8
"hrg-group",2.63636363636364,2.45454545454545,3,2.16666666666667,0.4
"hsbc",0.181818181818182,0.0909090909090909,0.777777777777778,0.166666666666667,0
"humana-inc",2.09090909090909,1.90909090909091,2.33333333333333,0.666666666666667,0.4
"huntington-ingalls-industries",1.90909090909091,3.09090909090909,3.77777777777778,2.16666666666667,2.6
"huntsman-corporation",2.54545454545455,2.27272727272727,2.66666666666667,2.66666666666667,2.8
"hyatt",1.72727272727273,1.45454545454545,2.88888888888889,0.166666666666667,0
"hyatt-regency",2.90909090909091,2.54545454545455,4,0.666666666666667,0
"hyundai",0.727272727272727,1.54545454545455,2.77777777777778,1,0
"ibm",2,2.54545454545455,2.33333333333333,2.16666666666667,1.6
"icahn-enterprises-lp",0.272727272727273,0.363636363636364,1.11111111111111,0,0.4
"iheartmedia",2.63636363636364,3,3,2.16666666666667,1
"ikea",1.18181818181818,2,1.77777777777778,1,0
"illinois-tool-works",2.27272727272727,2.72727272727273,3.77777777777778,1.83333333333333,2.4
"infosys",1.18181818181818,1.18181818181818,3.22222222222222,0.833333333333333,1.6
"ingersoll-rand",0.545454545454545,0.727272727272727,3.33333333333333,0.666666666666667,1.4
"ingram-micro",1.90909090909091,2.72727272727273,3,2.16666666666667,0
"ingredion-incorporated",0.909090909090909,0.818181818181818,1.44444444444444,0,0.6
"insight-enterprises",1.81818181818182,1.81818181818182,3.55555555555556,2,0
"intel",1.36363636363636,2.63636363636364,3.66666666666667,1.16666666666667,0.4
"international-paper",2.54545454545455,1.72727272727273,4,1.33333333333333,2.4
"intl-fcstone",2,2.09090909090909,3.11111111111111,2.5,1.4
"invesco",1.36363636363636,1,2.33333333333333,1,2.4
"iron-mountain-inc",1.27272727272727,2.54545454545455,4,2.33333333333333,2.4
"jabil",1,2.45454545454545,2.66666666666667,1,1
"jack-daniels",2.18181818181818,2.36363636363636,2.77777777777778,2,2.6
"jack-in-the-box",2.63636363636364,2.63636363636364,2.77777777777778,1.66666666666667,2.4
"jacobs-engineering",2,1.09090909090909,3.33333333333333,0.833333333333333,0.6
"jarden-corporation",2.45454545454545,1.72727272727273,2.88888888888889,1.83333333333333,3.2
"jb-hunt-transport-services",1.63636363636364,1.36363636363636,2.55555555555556,1.33333333333333,2.6
"jc-penney",3.45454545454545,2.81818181818182,3.88888888888889,2.5,1.6
"jetblue-airways-corporation",3.72727272727273,3.18181818181818,4,3.66666666666667,3.4
"jm-smucker",2.54545454545455,2.36363636363636,2,2.16666666666667,2.2
"john-hancock",2.81818181818182,2.09090909090909,2.77777777777778,2,2.2
"johnnie-walker",1.81818181818182,1.81818181818182,4,2,3.2
"johnson-controls",2.45454545454545,3,2.44444444444444,2,1.8
"johnson-johnson",0.727272727272727,0.0909090909090909,1.66666666666667,0.666666666666667,0
"johnsons",3,1.18181818181818,3.33333333333333,1.16666666666667,0.4
"jones-lang-lasalle-incorporated",2.45454545454545,2.18181818181818,3.88888888888889,2,1.2
"jp-morgan",1.90909090909091,1.81818181818182,2.11111111111111,1.16666666666667,0.4
"kelloggs",3.18181818181818,2.36363636363636,2.11111111111111,0.5,0
"kelly-services",2.81818181818182,2.54545454545455,2.88888888888889,2.16666666666667,2
"kenworth",1.90909090909091,1.90909090909091,2.88888888888889,1.5,2.2
"keycorp",2.63636363636364,2.27272727272727,2.88888888888889,1.5,0
"kfc",3.54545454545455,1,2.66666666666667,0.833333333333333,0
"kia",2.27272727272727,2.54545454545455,2.55555555555556,1.66666666666667,0
"kimberlyclark-corporation",1.27272727272727,0.363636363636364,1.88888888888889,0.666666666666667,0
"kindred-healthcare",3.36363636363636,2.63636363636364,3.11111111111111,2.66666666666667,0.8
"kitchenaid",0.636363636363636,0.909090909090909,1.66666666666667,0.333333333333333,0
"kkr",0.454545454545455,1.36363636363636,2.66666666666667,1.16666666666667,0.6
"kohls",1.27272727272727,1,2,1.33333333333333,0.6
"kraft",1.81818181818182,1.63636363636364,1.66666666666667,1.16666666666667,1.2
"kroger",1.36363636363636,0.272727272727273,2.55555555555556,0.333333333333333,0.8
"l-brands",2,3.54545454545455,1.88888888888889,3.83333333333333,1.2
